x,y,z,dt
0.086,-5.2,-6.1,9
0.411,-5.391,-7,10
0.268,-5.391,-7.527,10
0.268,-5.544,-7.527,10
-0.191,-5.037,-7.364,9
-0.047,-4.893,-7.192,10
0.344,-4.616,-6.904,10
0.957,-4.481,-6.828,10
1.359,-4.271,-7.364,9
1.446,-3.926,-8.322,10
0.909,-4.232,-9.605,10
0.44,-7.134,-11.654,10
-0.957,-12.354,-13.129,9
-4.05,-9.787,-12.277,10
-3.974,-9.758,-11.281,10
-0.248,-12.899,-9.892,10
4.29,-14.748,-8.465,10
2.71,-12.382,-4.271,9
-0.248,-8.408,-3.399,10
0.612,-7,-5.391,10
0.948,-7.383,-5.554,10
-0.363,-7.795,-4.185,9
-1.216,-8.571,-4.357,10
-0.785,-8.935,-4.031,10
-0.679,-9.002,-2.451,10
-1.12,-9.548,-1.551,9
-1.12,-9.988,-2.001,10
-0.038,-10.18,-2.844,10
1.857,-10.4,-2.863,10
3.083,-10.869,-2.614,9
3.351,-11.252,-2.576,10
2.987,-11.147,-3.208,10
2.748,-10.773,-3.026,10
2.671,-9.94,-2.614,10
2.432,-8.944,-2.288,9
2.365,-8.121,-2.183,10
2.403,-7.498,-1.963,10
2.422,-7.115,-1.723,10
2.604,-6.952,-1.216,9
2.691,-7,-0.995,10
2.815,-7.086,-1.12,10
3.045,-7.058,-1.177,10
3.064,-7.163,-1.465,9
2.557,-7.527,-1.723,10
1.953,-7.776,-1.513,10
1.81,-7.718,-1.474,10
1.312,-7.747,-0.823,10
1.139,-7.728,-0.785,9
1.139,-7.728,-1.043,10
1.072,-7.843,-1.972,10
1.283,-7.967,-1.704,10
1.455,-8.303,-0.785,9
1.331,-8.619,-0.22,10
1.474,-8.868,0.009,10
1.608,-9.165,0.114,10
1.264,-9.394,0.019,9
1.426,-9.337,-0.402,10
1.283,-9.461,-1.168,10
1.043,-9.72,-1.398,10
0.948,-9.854,-1.446,9
1.158,-9.806,-1.436,10
1.417,-9.931,-1.187,10
1.896,-10.266,-1.283,10
