x,y,z,dt
0.814,-7.833,-1.321,9
0.814,-7.833,-1.321,10
1.446,-7.326,-0.392,10
1.819,-6.962,-0.172,10
1.742,-6.962,-0.239,9
1.187,-7.077,-0.986,10
0.9,-7.259,-1.752,10
0.191,-7.536,-1.704,10
-0.239,-7.469,-1.388,9
-0.067,-7.422,-1.043,10
-0.363,-7.45,-0.651,10
-0.296,-7.766,-0.651,10
-0.22,-8.599,-0.565,9
-0.325,-9.404,-1.13,10
-0.986,-10.046,-1.216,10
-1.11,-9.979,-1.091,10
-0.66,-9.615,-0.995,10
0.028,-9.327,-0.737,9
0.325,-9.605,-0.708,10
0.038,-10.429,-0.66,10
-0.201,-10.745,-0.766,10
-0.047,-10.342,-0.938,9
-0.067,-10.093,-0.766,10
-0.028,-10.026,-0.047,10
0.201,-10.266,0.373,10
0.737,-10.132,0.268,9
1.283,-9.385,-0.028,10
1.091,-8.753,-0.411,10
0.632,-8.839,-0.612,10
0.335,-9.251,-0.651,10
0.402,-9.825,-0.488,9
0.756,-10.314,-0.229,10
0.861,-10.936,0.095,10
0.593,-11.587,0.632,10
-0.124,-12.296,0.986,9
-1.13,-13.168,1.177,10
-2.02,-14.259,1.359,10
-1.704,-15.437,1.857,10
-1.532,-15.705,1.082,9
-0.287,-16.012,1.503,10
0.143,-15.859,2.566,10
-1.168,-15.169,2.422,10
-3.418,-14.183,0.593,9
-4.74,-14.326,-0.603,10
-6.09,-15.188,-1.331,10
-7.134,-15.294,-1.838,10
-6.033,-14.039,-1.781,10
-4.089,-12.478,-1.436,9
-2.164,-11.942,-1.053,10
-0.497,-12.44,-1.101,10
0.766,-13.283,-2.068,10
1.723,-13.972,-3.217,9
2.317,-14.48,-4.596,10
1.723,-14.537,-5.171,10
0.229,-13.886,-4.683,10
-1.513,-13.101,-3.572,9
-3.16,-12.191,-2.221,10
-4.462,-11.099,-0.354,10
-5.19,-9.902,1.541,10
-5.372,-8.465,3.62,9
-4.989,-7.287,5.104,10
-4.635,-7.077,4.951,10
-3.572,-6.636,2.327,10
-1.302,-6.876,-1.8,10
1.187,-8.188,-6.291,9
2.758,-9.892,-8.781,10
1.359,-10.419,-7.22,10
1.359,-10.419,-7.22,10
-0.881,-9.433,-2.585,9
-1.924,-7.623,1.197,10
-2.346,-5.851,1.369,10
-1.762,-4.587,0,10
-0.756,-3.83,-1.015,9
-0.507,-2.987,-1.637,10
-0.536,-2.892,-2.193,10
0.114,-4.424,-2.528,10
0.67,-5.305,-3.093,9
0.593,-5.238,-2.92,10
0.612,-4.903,-2.748,10
0.344,-3.974,-3.562,10
-0.555,-3.131,-4.357,10
-1.254,-2.777,-4.683,9
-2.068,-2.93,-3.811,10
-2.949,-3.648,-2.892,10
-3.284,-3.916,-3.045,10
-2.451,-3.102,-4.434,9
-1.513,-3.15,-5.87,10
-0.919,-3.495,-6.646,10
-0.919,-3.457,-7.24,10
-1.082,-3.792,-6.943,9
-0.881,-4.108,-6.196,10
-0.593,-4.367,-5.822,10
-0.392,-4.175,-5.688,10
-0.287,-3.983,-6.349,10
-0.277,-3.773,-8.073,9
-0.201,-3.754,-9.921,10
-0.584,-3.303,-10.649,10
-2.154,-2.882,-10.802,10
-3.907,-5.544,-12.172,9
-4.529,-13.867,-14.824,10
-3.744,-15.744,-13.972,10
-2.106,-14.709,-13.551,10
-0.268,-14.298,-11.022,9
0.191,-9.461,-7.364,10
-3.198,-4.73,-4.999,10
-3.983,-2.614,-5.928,10
-1.053,-4.424,-6.349,10
-0.019,-7.029,-6.09,9
-0.497,-9.097,-5.324,10
-1.465,-10.39,-5.123,10
-2.346,-10.726,-4.874,10
-3.074,-10.304,-3.83,9
-3.112,-9.222,-3.15,10
-2.537,-8.322,-2.729,10
-1.436,-7.891,-2.844,10
-0.019,-8.015,-2.442,9
0.833,-8.35,-1.896,10
1.015,-8.781,-1.493,10
0.794,-9.624,-1.771,10
0.124,-10.438,-2.509,9
-0.517,-10.477,-2.997,10
-1.158,-9.528,-3.332,10
-1.417,-8.686,-3.246,10
-0.957,-7.92,-3.122,9
0.028,-7.115,-2.384,10
1.005,-6.646,-1.321,10
1.561,-6.675,-0.354,10
1.762,-7.048,0.057,10
1.647,-7.374,-0.421,9
1.264,-7.69,-1.235,10
1.005,-7.843,-1.896,10
0.938,-7.891,-2.269,10
0.919,-7.948,-2.039,9
0.718,-7.948,-1.886,10
0.718,-8.303,-1.886,10
0.181,-8.647,-1.848,10
-0.134,-9.117,-1.733,10
-0.373,-9.385,-1.685,9
-0.919,-9.471,-1.733,10
-0.775,-9.059,-1.493,10
-0.43,-8.858,-0.239,9
-0.028,-8.935,0.823,10
0.411,-9.346,0.814,10
0.392,-10.036,0,10
-0.067,-10.132,-0.948,10
-0.306,-9.71,-1.283,9
-0.363,-9.27,-1.321,10
-0.229,-9.26,-1.197,10
0.201,-9.768,-1.082,10
0.469,-10.505,-0.995,9
0.517,-10.716,-1.034,10
0.497,-10.362,-1.149,10
0.593,-10.113,-0.928,10
0.679,-10.055,-0.612,10
0.708,-9.931,-0.201,9
0.43,-9.979,0.239,10
-0.076,-10.477,0.526,10
-0.612,-11.482,0.756,10
-1.177,-13.35,1.312,9
-1.072,-15.658,2.346,10
-0.976,-16.883,2.432,10
-1.043,-16.194,1.857,10
-0.919,-15.332,1.896,9
-1.024,-15.14,2.413,10
-2.193,-14.719,1.331,10
-2.987,-14.02,-0.21,10
-3.39,-14.221,-0.919,9
-3.849,-14.777,-1.273,10
-3.811,-14.097,-1.81,10
-2.882,-12.746,-2.001,10
-1.762,-12.229,-1.733,9
-0.574,-12.861,-1.359,10
0.134,-13.809,-1.848,10
0.344,-14.7,-3.141,10
0.612,-14.997,-4.367,9
0.861,-14.709,-5.142,10
0.354,-14.393,-4.529,10
-0.584,-14.326,-3.026,10
-1.704,-14.097,-1.082,10
-3.409,-13.33,0.814,9
-5.046,-12.239,2.355,10
-6.014,-10.381,3.275,10
-5.41,-8.169,3.16,10
-4.376,-6.742,2.691,9
-4.022,-6.665,1.781,10
-3.294,-7.086,0.21,10
-2.03,-7.929,-1.618,10
-0.708,-8.523,-3.543,10
0.622,-8.427,-4.635,9
0.9,-7.987,-4.596,10
0.306,-7.364,-3.179,10
-0.727,-6.339,-1.312,10
-1.312,-4.941,0.258,9
