x,y,z,delta de t
4.406,-2.087,-8.274,5
4.442,-2.087,-8.261,5
4.457,-2.093,-8.254,5
4.445,-2.105,-8.254,5
4.444,-2.128,-8.244,5
4.45,-2.145,-8.241,6
4.452,-2.123,-8.243,5
4.444,-2.116,-8.226,5
4.441,-2.12,-8.216,5
4.429,-2.095,-8.216,5
4.441,-2.087,-8.224,5
4.458,-2.086,-8.241,5
4.421,-2.073,-8.291,5
4.398,-2.075,-8.319,5
4.386,-2.087,-8.33,5
4.374,-2.087,-8.293,5
4.361,-2.087,-8.279,5
4.349,-2.087,-8.292,5
4.348,-2.099,-8.281,5
4.348,-2.106,-8.269,5
4.348,-2.106,-8.257,5
4.338,-2.106,-8.264,5
4.325,-2.103,-8.277,5
4.313,-2.091,-8.289,5
4.31,-2.096,-8.293,5
4.306,-2.108,-8.297,5
4.281,-2.121,-8.321,5
4.292,-2.103,-8.349,5
4.31,-2.069,-8.331,5
4.31,-2.094,-8.331,5
4.303,-2.106,-8.319,5
4.291,-2.106,-8.294,5
4.279,-2.106,-8.293,5
4.266,-2.116,-8.303,5
4.254,-2.141,-8.327,6
4.252,-2.145,-8.342,5
4.252,-2.141,-8.343,5
4.252,-2.129,-8.318,5
4.27,-2.135,-8.303,5
4.283,-2.145,-8.298,5
4.246,-2.145,-8.322,5
4.225,-2.137,-8.331,5
4.217,-2.127,-8.332,5
4.254,-2.139,-8.345,5
4.278,-2.131,-8.344,5
4.29,-2.107,-8.331,5
4.327,-2.106,-8.294,5
4.326,-2.101,-8.29,5
4.277,-2.089,-8.327,5
4.301,-2.076,-8.268,5
4.318,-2.072,-8.248,5
4.342,-2.085,-8.285,5
4.358,-2.097,-8.273,5
4.376,-2.109,-8.254,5
4.413,-2.122,-8.254,5
4.441,-2.126,-8.246,5
4.463,-2.127,-8.234,5
4.463,-2.139,-8.221,5
4.477,-2.152,-8.216,5
4.502,-2.164,-8.216,5
4.539,-2.151,-8.216,5
4.559,-2.151,-8.204,5
4.559,-2.163,-8.18,6
4.57,-2.152,-8.212,5
4.559,-2.145,-8.222,5
4.51,-2.145,-8.185,5
4.511,-2.155,-8.168,5
4.52,-2.164,-8.169,5
4.52,-2.164,-8.206,5
4.511,-2.173,-8.216,5
4.499,-2.175,-8.218,5
4.487,-2.126,-8.231,5
4.474,-2.106,-8.243,5
4.461,-2.106,-8.256,5
4.423,-2.093,-8.281,5
4.399,-2.094,-8.28,5
4.387,-2.106,-8.255,5
4.374,-2.095,-8.254,5
4.352,-2.092,-8.264,5
4.315,-2.105,-8.289,5
4.288,-2.085,-8.303,5
4.271,-2.072,-8.308,5
4.271,-2.084,-8.296,5
4.271,-2.097,-8.302,5
4.264,-2.101,-8.309,5
4.227,-2.077,-8.297,5
4.214,-2.076,-8.293,5
4.215,-2.087,-8.295,5
4.227,-2.087,-8.32,5
4.233,-2.082,-8.336,5
4.233,-2.073,-8.345,6
4.258,-2.06,-8.333,5
4.279,-2.054,-8.323,5
4.255,-2.067,-8.348,5
4.274,-2.068,-8.35,5
4.29,-2.068,-8.346,5
4.29,-2.068,-8.334,5
4.3,-2.068,-8.312,5
4.304,-2.068,-8.296,5
4.279,-2.068,-8.308,5
4.297,-2.068,-8.312,5
4.332,-2.068,-8.312,5
4.357,-2.068,-8.312,5
4.353,-2.075,-8.319,5
4.329,-2.088,-8.33,5
4.354,-2.1,-8.306,5
4.367,-2.1,-8.287,5
4.367,-2.088,-8.275,5
4.39,-2.11,-8.251,5
4.41,-2.121,-8.235,5
4.422,-2.109,-8.235,5
4.424,-2.126,-8.235,5
4.424,-2.145,-8.238,5
4.424,-2.145,-8.251,5
4.416,-2.145,-8.246,5
4.41,-2.143,-8.235,5
4.434,-2.13,-8.235,5
4.451,-2.133,-8.235,5
4.462,-2.144,-8.237,6
4.45,-2.132,-8.262,5
4.45,-2.138,-8.267,5
4.462,-2.163,-8.255,5
4.463,-2.14,-8.254,5
4.458,-2.131,-8.254,5
4.445,-2.143,-8.254,5
4.454,-2.155,-8.276,5
4.455,-2.175,-8.281,5
4.43,-2.212,-8.244,5
4.424,-2.212,-8.217,5
4.422,-2.205,-8.2,5
4.41,-2.217,-8.212,5
4.397,-2.221,-8.208,5
4.386,-2.218,-8.202,5
4.388,-2.185,-8.256,5
4.437,-2.227,-8.298,5
4.424,-2.202,-8.274,5
4.424,-2.19,-8.311,5
4.424,-2.177,-8.314,5
4.424,-2.165,-8.277,5
4.413,-2.142,-8.263,5
4.405,-2.13,-8.263,5
4.405,-2.142,-8.288,5
4.405,-2.125,-8.283,5
4.405,-2.106,-8.268,5
4.405,-2.106,-8.243,5
4.388,-2.089,-8.227,5
4.37,-2.066,-8.218,5
4.395,-2.054,-8.23,6
4.398,-2.042,-8.25,5
4.385,-2.029,-8.274,5
4.348,-2.017,-8.274,5
4.329,-2.011,-8.268,5
4.329,-2.011,-8.255,5
4.34,-2.034,-8.266,5
4.335,-2.037,-8.274,5
4.344,-2.046,-8.242,5
4.358,-2.039,-8.266,5
4.36,-2.04,-8.293,5
4.335,-2.077,-8.293,5
4.347,-2.096,-8.284,5
4.36,-2.102,-8.278,5
4.323,-2.077,-8.303,5
4.302,-2.068,-8.304,5
4.292,-2.071,-8.293,5
4.317,-2.108,-8.293,5
4.316,-2.119,-8.293,5
4.291,-2.107,-8.293,5
4.302,-2.13,-8.293,5
4.31,-2.14,-8.293,5
4.31,-2.127,-8.293,5
4.32,-2.147,-8.293,5
4.321,-2.16,-8.293,5
4.296,-2.148,-8.293,5
4.309,-2.164,-8.274,5
4.331,-2.186,-8.257,5
4.344,-2.198,-8.269,6
4.375,-2.168,-8.224,5
4.385,-2.146,-8.238,5
4.372,-2.158,-8.263,5
4.381,-2.157,-8.267,5
4.405,-2.145,-8.254,5
4.393,-2.157,-8.254,5
4.403,-2.169,-8.254,5
4.44,-2.182,-8.254,5
4.444,-2.183,-8.266,5
4.448,-2.179,-8.265,5
4.46,-2.166,-8.24,5
4.453,-2.144,-8.245,5
4.444,-2.132,-8.242,5
4.444,-2.156,-8.193,5
4.444,-2.155,-8.186,5
4.445,-2.143,-8.204,5
4.458,-2.131,-8.254,5
4.448,-2.118,-8.274,5
4.424,-2.106,-8.273,5
4.424,-2.094,-8.261,5
4.431,-2.087,-8.248,5
4.443,-2.087,-8.236,5
4.432,-2.099,-8.235,5
4.429,-2.102,-8.245,5
4.442,-2.089,-8.27,5
4.413,-2.087,-8.263,5
4.386,-2.08,-8.254,5
4.386,-2.056,-8.254,6
4.368,-2.049,-8.264,5
4.348,-2.051,-8.274,5
4.348,-2.064,-8.274,5
4.356,-2.068,-8.281,5
4.367,-2.068,-8.294,5
4.367,-2.068,-8.306,5
4.347,-2.075,-8.305,5
4.31,-2.087,-8.293,5
4.31,-2.087,-8.305,5
4.299,-2.092,-8.307,5
4.274,-2.105,-8.294,5
4.293,-2.106,-8.293,5
4.304,-2.106,-8.298,5
4.286,-2.106,-8.316,5
4.268,-2.109,-8.328,5
4.252,-2.123,-8.315,5
4.252,-2.111,-8.327,5
4.252,-2.115,-8.331,5
4.255,-2.126,-8.331,5
4.28,-2.126,-8.331,5
4.29,-2.126,-8.324,5
4.29,-2.125,-8.312,5
4.29,-2.113,-8.299,5
4.296,-2.118,-8.287,5
4.308,-2.142,-8.275,5
4.332,-2.133,-8.307,5
4.348,-2.126,-8.318,5
4.348,-2.126,-8.281,6
4.358,-2.126,-8.284,5
4.367,-2.129,-8.293,5
4.367,-2.141,-8.293,5
4.393,-2.127,-8.275,5
4.424,-2.11,-8.254,5
4.424,-2.135,-8.254,5
4.424,-2.145,-8.248,5
4.424,-2.145,-8.236,5
4.424,-2.145,-8.235,5
4.424,-2.132,-8.235,5
4.424,-2.108,-8.235,5
4.448,-2.118,-8.259,5
4.463,-2.116,-8.274,5
4.463,-2.091,-8.274,5
4.473,-2.118,-8.263,5
4.482,-2.141,-8.247,5
4.482,-2.129,-8.223,5
4.482,-2.116,-8.225,5
4.477,-2.109,-8.238,5
4.453,-2.121,-8.25,5
4.451,-2.126,-8.239,5
4.461,-2.127,-8.217,5
4.436,-2.139,-8.23,5
4.424,-2.138,-8.235,5
4.424,-2.126,-8.235,5
4.4,-2.15,-8.26,5
4.386,-2.153,-8.268,5
4.386,-2.129,-8.256,5
4.372,-2.154,-8.254,6
4.352,-2.149,-8.278,5
4.364,-2.161,-8.29,5
4.357,-2.145,-8.293,5
4.342,-2.123,-8.293,5
4.318,-2.11,-8.293,5
4.31,-2.123,-8.301,5
4.313,-2.145,-8.312,5
4.337,-2.145,-8.312,5
4.341,-2.138,-8.298,5
4.328,-2.126,-8.274,5
4.316,-2.126,-8.274,5
4.304,-2.12,-8.274,5
4.291,-2.107,-8.274,5
4.302,-2.118,-8.262,5
4.305,-2.112,-8.254,5
4.293,-2.075,-8.254,5
4.3,-2.078,-8.275,5
4.31,-2.084,-8.296,5
4.31,-2.072,-8.308,5
4.318,-2.077,-8.294,5
4.329,-2.083,-8.278,5
4.329,-2.068,-8.293,5
4.321,-2.061,-8.293,5
4.311,-2.05,-8.292,5
4.336,-2.062,-8.28,5
4.348,-2.068,-8.267,5
4.348,-2.068,-8.255,5
4.336,-2.08,-8.266,6
4.319,-2.092,-8.279,5
4.294,-2.105,-8.291,5
4.311,-2.096,-8.272,5
4.336,-2.091,-8.258,5
4.361,-2.103,-8.27,5
4.358,-2.106,-8.264,5
4.353,-2.104,-8.254,5
4.377,-2.092,-8.254,5
4.386,-2.079,-8.254,5
4.387,-2.069,-8.257,5
4.4,-2.082,-8.281,5
4.412,-2.107,-8.293,5
4.424,-2.144,-8.293,5
4.424,-2.157,-8.293,5
4.405,-2.145,-8.266,5
4.405,-2.145,-8.238,5
4.416,-2.156,-8.235,5
4.424,-2.176,-8.227,5
4.424,-2.213,-8.202,5
4.415,-2.202,-8.178,5
4.411,-2.183,-8.17,5
4.436,-2.183,-8.219,5
4.444,-2.166,-8.244,5
4.445,-2.146,-8.254,5
4.458,-2.159,-8.254,5
4.47,-2.157,-8.24,5
4.482,-2.144,-8.217,5
4.469,-2.119,-8.241,6
4.474,-2.095,-8.243,5
4.499,-2.07,-8.218,5
4.501,-2.102,-8.239,5
4.501,-2.116,-8.25,5
4.501,-2.092,-8.238,5
4.521,-2.118,-8.215,5
4.533,-2.148,-8.2,5
4.508,-2.16,-8.213,5
4.475,-2.146,-8.234,5
4.444,-2.13,-8.254,5
4.444,-2.154,-8.254,5
4.429,-2.164,-8.27,5
4.405,-2.162,-8.292,5
4.392,-2.138,-8.28,5
4.367,-2.132,-8.261,5
4.33,-2.144,-8.236,5
4.305,-2.145,-8.271,5
4.28,-2.135,-8.303,5
4.256,-2.11,-8.327,5
4.252,-2.096,-8.352,5
4.252,-2.095,-8.366,5
4.252,-2.119,-8.353,5
4.252,-2.126,-8.341,5
4.245,-2.126,-8.329,5
4.208,-2.126,-8.316,5
4.203,-2.126,-8.32,5
4.216,-2.125,-8.329,5
4.242,-2.116,-8.312,6
4.267,-2.108,-8.295,5
4.252,-2.106,-8.331,5
4.24,-2.094,-8.319,5
4.238,-2.082,-8.328,5
4.251,-2.069,-8.365,5
4.296,-2.09,-8.347,5
4.32,-2.102,-8.323,5
4.296,-2.09,-8.298,5
4.339,-2.068,-8.283,5
4.383,-2.055,-8.277,5
4.371,-2.079,-8.289,5
4.375,-2.113,-8.276,5
4.386,-2.143,-8.258,5
4.386,-2.131,-8.282,5
4.393,-2.14,-8.278,5
4.406,-2.164,-8.254,5
4.418,-2.164,-8.242,5
4.43,-2.146,-8.235,5
4.443,-2.109,-8.235,5
4.432,-2.106,-8.224,5
4.429,-2.111,-8.22,5
4.439,-2.121,-8.231,5
4.452,-2.143,-8.235,5
4.459,-2.157,-8.229,5
4.447,-2.132,-8.204,5
4.461,-2.117,-8.224,5
4.484,-2.106,-8.25,5
4.496,-2.106,-8.226,5
4.509,-2.106,-8.216,6
4.519,-2.107,-8.215,5
4.507,-2.12,-8.203,5
4.507,-2.145,-8.203,5
4.52,-2.182,-8.216,5
4.496,-2.183,-8.216,5
4.487,-2.178,-8.211,5
4.499,-2.166,-8.199,5
4.48,-2.196,-8.218,5
4.459,-2.221,-8.224,5
4.447,-2.221,-8.187,5
4.416,-2.231,-8.187,5
4.384,-2.238,-8.202,5
4.371,-2.226,-8.227,5
4.357,-2.191,-8.255,5
4.295,-2.142,-8.295,5
4.345,-2.117,-8.32,5
4.34,-2.113,-8.317,5
4.29,-2.126,-8.293,5
4.303,-2.089,-8.33,5
4.315,-2.068,-8.339,5
4.327,-2.068,-8.314,5
4.318,-2.046,-8.301,5
4.31,-2.034,-8.293,5
4.31,-2.046,-8.293,5
4.319,-2.039,-8.283,5
4.332,-2.027,-8.277,5
4.344,-2.014,-8.289,5
4.373,-2.019,-8.276,6
4.404,-2.032,-8.254,5
4.391,-2.044,-8.254,5
4.386,-2.049,-8.254,5
4.387,-2.05,-8.255,5
4.412,-2.075,-8.267,5
4.418,-2.105,-8.268,5
4.406,-2.142,-8.255,5
4.367,-2.13,-8.265,5
4.372,-2.14,-8.231,5
4.384,-2.128,-8.218,5
4.366,-2.146,-8.237,5
4.348,-2.171,-8.254,5
4.348,-2.195,-8.254,5
4.33,-2.175,-8.254,5
4.31,-2.147,-8.254,5
4.31,-2.159,-8.254,5
4.279,-2.195,-8.278,5
4.232,-2.24,-8.311,5
4.22,-2.227,-8.299,5
4.207,-2.208,-8.312,5
4.195,-2.184,-8.349,5
4.207,-2.207,-8.35,5
4.209,-2.216,-8.355,5
4.196,-2.204,-8.368,5
4.216,-2.191,-8.391,5
4.245,-2.187,-8.392,5
4.282,-2.199,-8.343,5
4.309,-2.193,-8.35,6
4.329,-2.166,-8.369,5
4.329,-2.164,-8.369,5
4.353,-2.164,-8.361,5
4.39,-2.161,-8.346,5
4.427,-2.136,-8.309,5
4.444,-2.126,-8.286,5
4.443,-2.125,-8.273,5
4.406,-2.076,-8.236,5
4.381,-2.055,-8.216,5
4.368,-2.067,-8.216,5
4.367,-2.035,-8.25,5
4.363,-2.011,-8.269,5
4.35,-2.011,-8.257,5
4.368,-1.971,-8.284,5
4.392,-1.934,-8.306,5
4.417,-1.934,-8.281,5
4.424,-1.934,-8.308,5
4.426,-1.934,-8.347,5
4.439,-1.934,-8.322,5
4.444,-1.927,-8.305,5
4.444,-1.915,-8.293,5
4.444,-1.928,-8.306,5
4.431,-1.934,-8.288,5
4.407,-1.934,-8.238,5
4.382,-1.934,-8.282,5
4.381,-1.924,-8.302,5
4.418,-1.9,-8.278,5
4.404,-1.906,-8.263,6
4.376,-1.918,-8.265,5
4.339,-1.931,-8.302,5
4.32,-1.943,-8.303,5
4.305,-1.958,-8.293,5
4.28,-1.982,-8.293,5
4.248,-1.991,-8.301,5
4.217,-1.991,-8.312,5
4.254,-1.991,-8.312,5
4.271,-2.018,-8.338,5
4.271,-2.067,-8.387,5
4.271,-2.08,-8.389,5
4.282,-2.092,-8.378,5
4.306,-2.105,-8.353,5
4.299,-2.15,-8.307,5
4.298,-2.191,-8.281,5
4.323,-2.229,-8.266,5
4.319,-2.269,-8.264,5
4.318,-2.293,-8.274,5
4.355,-2.268,-8.274,5
4.375,-2.293,-8.274,5
4.389,-2.338,-8.274,5
4.414,-2.35,-8.274,5
4.431,-2.348,-8.26,5
4.444,-2.337,-8.235,5
4.444,-2.361,-8.198,5
4.444,-2.357,-8.195,5
4.444,-2.32,-8.232,5
4.466,-2.306,-8.247,5
4.478,-2.28,-8.254,6
4.465,-2.231,-8.254,5
4.473,-2.221,-8.254,5
4.479,-2.199,-8.251,5
4.466,-2.113,-8.239,5
4.445,-2.087,-8.244,5
4.423,-2.081,-8.254,5
4.412,-2.039,-8.254,5
4.405,-2.006,-8.254,5
4.405,-1.991,-8.254,5
4.392,-1.991,-8.254,5
4.386,-1.979,-8.254,5
4.386,-1.955,-8.254,5
4.363,-1.953,-8.278,5
4.353,-1.953,-8.298,5
4.365,-1.953,-8.31,5
4.346,-1.943,-8.312,5
4.329,-1.938,-8.301,5
4.329,-1.95,-8.264,5
4.329,-1.962,-8.273,5
4.331,-1.97,-8.297,5
4.343,-1.958,-8.322,5
4.348,-1.953,-8.339,5
4.349,-1.954,-8.349,5
4.361,-1.967,-8.337,5
4.367,-1.999,-8.324,5
4.367,-2.048,-8.312,5
4.391,-2.037,-8.288,5
4.393,-2.036,-8.249,6
4.393,-2.032,-8.197,5
4.403,-2.011,-8.23,5
4.39,-2.019,-8.258,5
4.403,-2.043,-8.271,5
4.415,-2.078,-8.274,5
4.424,-2.109,-8.271,5
4.424,-2.122,-8.258,5
4.424,-2.134,-8.238,5
4.42,-2.143,-8.213,5
4.383,-2.131,-8.188,5
4.374,-2.126,-8.199,5
4.386,-2.126,-8.235,5
4.361,-2.138,-8.235,5
4.342,-2.133,-8.264,5
4.33,-2.109,-8.326,5
4.306,-2.106,-8.342,5
4.286,-2.102,-8.359,5
4.274,-2.09,-8.384,5
4.271,-2.067,-8.389,5
4.271,-2.055,-8.379,5
4.271,-2.08,-8.342,5
4.222,-2.104,-8.347,5
4.231,-2.126,-8.335,5
4.219,-2.126,-8.36,5
4.236,-2.133,-8.369,5
4.271,-2.147,-8.367,5
4.271,-2.184,-8.33,5
4.302,-2.202,-8.312,6
4.364,-2.202,-8.312,5
4.344,-2.179,-8.312,5
4.348,-2.159,-8.307,5
4.398,-2.147,-8.295,5
4.395,-2.155,-8.272,5
4.401,-2.157,-8.254,5
4.45,-2.132,-8.254,5
4.454,-2.098,-8.273,5
4.451,-2.066,-8.29,5
4.488,-2.053,-8.278,5
4.493,-2.049,-8.258,5
4.485,-2.047,-8.239,5
4.522,-2.022,-8.276,5
4.533,-2.017,-8.279,5
4.52,-2.03,-8.255,5
4.538,-2.03,-8.196,5
4.531,-2.035,-8.189,5
4.556,-2.048,-8.213,5
4.559,-2.016,-8.216,5
4.55,-1.983,-8.216,5
4.526,-1.959,-8.216,5
4.549,-1.944,-8.207,5
4.575,-1.937,-8.206,5
4.563,-1.949,-8.243,5
4.55,-1.936,-8.254,5
4.541,-1.916,-8.251,5
4.553,-1.929,-8.227,5
4.551,-1.948,-8.209,6
4.539,-1.973,-8.198,5
4.501,-1.998,-8.222,5
4.435,-2.051,-8.241,5
4.336,-2.138,-8.253,5
4.295,-2.167,-8.254,5
4.271,-2.242,-8.268,5
4.271,-2.403,-8.305,5
4.251,-2.432,-8.292,5
4.233,-2.442,-8.293,5
4.233,-2.479,-8.367,5
4.206,-2.498,-8.389,5
4.169,-2.515,-8.389,5
4.132,-2.552,-8.389,5
4.118,-2.491,-8.366,5
4.118,-2.37,-8.33,5
4.118,-2.296,-8.305,5
4.112,-2.241,-8.293,5
4.099,-2.204,-8.293,5
4.111,-2.249,-8.305,5
4.123,-2.279,-8.322,5
4.135,-2.279,-8.347,5
4.158,-2.237,-8.35,5
4.183,-2.176,-8.346,5
4.208,-2.09,-8.334,5
4.26,-2.012,-8.303,5
4.314,-1.943,-8.271,5
4.339,-1.894,-8.259,5
4.388,-1.861,-8.254,5
4.456,-1.836,-8.259,6
4.583,-1.813,-8.299,5
4.662,-1.827,-8.298,5
4.711,-1.876,-8.274,5
4.712,-1.901,-8.274,5
4.734,-1.904,-8.224,5
4.783,-1.879,-8.113,5
4.755,-1.877,-8.112,5
4.71,-1.868,-8.129,5
4.648,-1.843,-8.153,5
4.635,-1.838,-8.149,5
4.629,-1.847,-8.145,5
4.605,-1.884,-8.17,5
4.588,-1.913,-8.178,5
4.568,-1.955,-8.183,5
4.494,-2.116,-8.22,5
4.463,-2.205,-8.25,5
4.46,-2.245,-8.273,5
4.361,-2.393,-8.261,5
4.292,-2.476,-8.26,5
4.255,-2.489,-8.273,5
4.16,-2.517,-8.246,5
4.061,-2.547,-8.216,5
4.012,-2.58,-8.216,5
3.973,-2.585,-8.237,5
3.949,-2.585,-8.258,5
3.961,-2.585,-8.27,5
4,-2.541,-8.327,5
4.046,-2.483,-8.391,6
4.07,-2.446,-8.403,5
4.087,-2.371,-8.4,5
4.1,-2.277,-8.389,5
4.125,-2.252,-8.389,5
4.182,-2.228,-8.389,5
4.268,-2.203,-8.389,5
4.283,-2.214,-8.389,5
4.321,-2.206,-8.373,5
4.395,-2.169,-8.336,5
4.416,-2.143,-8.331,5
4.44,-2.122,-8.323,5
4.489,-2.109,-8.299,5
4.501,-2.106,-8.293,5
4.498,-2.104,-8.282,5
4.485,-2.09,-8.228,5
4.49,-2.033,-8.189,5
4.5,-2.004,-8.178,5
4.487,-1.943,-8.178,5
4.475,-1.901,-8.185,5
4.463,-1.877,-8.197,5
4.463,-1.877,-8.209,5
4.474,-1.865,-8.238,5
4.499,-1.841,-8.288,5
4.49,-1.871,-8.326,5
4.478,-1.9,-8.35,5
4.465,-1.912,-8.35,5
4.453,-1.915,-8.331,5
4.441,-1.918,-8.306,6
4.428,-1.93,-8.281,5
4.424,-1.925,-8.257,5
4.426,-1.915,-8.234,5
4.439,-1.915,-8.221,5
4.4,-1.915,-8.231,5
4.329,-1.915,-8.255,5
4.329,-1.915,-8.28,5
4.329,-1.925,-8.313,5
4.329,-1.968,-8.297,5
4.317,-2.007,-8.316,5
4.3,-2.082,-8.331,5
4.275,-2.217,-8.331,5
4.281,-2.281,-8.311,5
4.283,-2.327,-8.296,5
4.259,-2.364,-8.309,5
4.216,-2.366,-8.321,5
4.171,-2.342,-8.322,5
4.146,-2.268,-8.273,5
4.145,-2.21,-8.247,5
4.161,-2.157,-8.24,5
4.223,-2.058,-8.302,5
4.252,-2.03,-8.331,5
4.252,-2.067,-8.331,5
4.312,-2.188,-8.355,5
4.358,-2.27,-8.369,5
4.383,-2.295,-8.369,5
4.386,-2.244,-8.327,5
4.39,-2.206,-8.293,6
4.402,-2.218,-8.293,5
4.33,-2.214,-8.269,5
4.288,-2.235,-8.221,5
4.275,-2.211,-8.246,5
4.255,-2.161,-8.279,5
4.232,-2.106,-8.307,5
4.219,-2.106,-8.257,5
4.234,-2.079,-8.242,5
4.271,-2.03,-8.255,5
4.259,-1.993,-8.279,5
4.291,-1.961,-8.304,5
4.378,-1.936,-8.329,5
4.42,-1.934,-8.353,5
4.452,-1.938,-8.369,5
4.477,-1.951,-8.369,5
4.502,-1.953,-8.379,5
4.511,-1.947,-8.376,5
4.474,-1.922,-8.327,5
4.471,-1.898,-8.303,5
4.475,-1.875,-8.289,5
4.425,-1.862,-8.264,5
4.398,-1.872,-8.262,5
4.388,-1.901,-8.274,5
4.438,-2.024,-8.286,5
4.457,-2.124,-8.281,5
4.444,-2.198,-8.256,5
4.397,-2.225,-8.254,5
4.353,-2.25,-8.245,5
4.316,-2.275,-8.22,6
4.299,-2.258,-8.247,5
4.276,-2.23,-8.263,5
4.227,-2.193,-8.226,5
4.187,-2.156,-8.243,5
4.159,-2.126,-8.276,5
4.171,-2.126,-8.288,5
4.191,-2.094,-8.301,5
4.218,-2.048,-8.311,5
4.267,-2.036,-8.299,5
4.303,-2.036,-8.286,5
4.328,-2.049,-8.274,5
4.377,-2.085,-8.298,5
4.416,-2.117,-8.317,5
4.44,-2.142,-8.33,5
4.426,-2.162,-8.331,5
4.413,-2.183,-8.258,5
4.376,-2.183,-8.271,5
4.377,-2.164,-8.283,5
4.386,-2.139,-8.282,5
4.386,-2.115,-8.233,5
4.386,-2.098,-8.224,5
4.389,-2.083,-8.234,5
4.414,-2.046,-8.222,5
4.431,-2.051,-8.216,5
4.443,-2.088,-8.217,5
4.431,-2.137,-8.254,5
4.413,-2.164,-8.257,5
4.388,-2.164,-8.22,6
4.364,-2.175,-8.239,5
4.339,-2.187,-8.254,5
4.314,-2.2,-8.254,5
4.26,-2.182,-8.274,5
4.217,-2.167,-8.302,5
4.229,-2.179,-8.339,5
4.246,-2.183,-8.35,5
4.266,-2.183,-8.35,5
4.271,-2.183,-8.338,5
4.271,-2.176,-8.324,5
4.272,-2.163,-8.312,5
4.284,-2.138,-8.312,5
4.29,-2.119,-8.312,5
4.29,-2.107,-8.312,5
4.29,-2.106,-8.324,5
4.295,-2.097,-8.331,5
4.308,-2.072,-8.331,5
4.31,-2.047,-8.331,5
4.306,-2.03,-8.324,5
4.294,-2.03,-8.299,5
4.29,-2.03,-8.284,5
4.297,-2.023,-8.278,5
4.334,-1.986,-8.303,5
4.356,-1.98,-8.296,5
4.371,-1.991,-8.273,5
4.421,-1.991,-8.26,5
4.444,-1.998,-8.254,5
4.444,-2.01,-8.254,6
4.431,-1.985,-8.229,5
4.414,-1.953,-8.274,5
4.389,-1.953,-8.274,5
4.364,-1.953,-8.274,5
4.352,-1.961,-8.282,5
4.364,-1.986,-8.306,5
4.348,-2.001,-8.302,5
4.32,-2.013,-8.296,5
4.283,-2.026,-8.308,5
4.263,-2.055,-8.295,5
4.251,-2.087,-8.275,5
4.238,-2.087,-8.287,5
4.233,-2.094,-8.293,5
4.233,-2.106,-8.293,5
4.258,-2.094,-8.305,5
4.271,-2.087,-8.318,5
4.271,-2.087,-8.33,5
4.283,-2.087,-8.286,5
4.299,-2.092,-8.268,5
4.324,-2.104,-8.305,5
4.329,-2.126,-8.312,5
4.339,-2.145,-8.297,5
4.386,-2.154,-8.264,5
4.397,-2.155,-8.282,5
4.388,-2.139,-8.295,5
4.4,-2.102,-8.307,5
4.405,-2.095,-8.289,5
4.407,-2.106,-8.253,6
4.444,-2.093,-8.228,5
4.45,-2.087,-8.235,5
4.426,-2.087,-8.272,5
4.46,-2.099,-8.238,5
4.472,-2.116,-8.221,5
4.447,-2.141,-8.233,5
4.475,-2.134,-8.256,5
4.497,-2.129,-8.27,5
4.485,-2.142,-8.258,5
4.491,-2.154,-8.254,5
4.501,-2.164,-8.25,5
4.501,-2.164,-8.225,5
4.477,-2.172,-8.216,5
4.444,-2.184,-8.218,5
4.444,-2.196,-8.243,5
4.405,-2.202,-8.236,5
4.405,-2.202,-8.254,5
4.405,-2.202,-8.267,5
4.411,-2.197,-8.268,5
4.423,-2.184,-8.256,5
4.403,-2.161,-8.244,5
4.378,-2.153,-8.235,5
4.353,-2.178,-8.235,5
4.338,-2.183,-8.255,5
4.326,-2.177,-8.276,5
4.314,-2.153,-8.289,5
4.31,-2.128,-8.293,5
4.31,-2.106,-8.291,5
4.31,-2.106,-8.279,6
4.317,-2.106,-8.274,5
4.329,-2.105,-8.274,5
4.354,-2.056,-8.274,5
4.361,-2.03,-8.274,5
4.349,-2.03,-8.274,5
4.359,-2.03,-8.285,5
4.372,-2.021,-8.297,5
4.384,-1.996,-8.31,5
4.366,-2.012,-8.302,5
4.354,-2.023,-8.293,5
4.379,-1.999,-8.293,5
4.377,-2.018,-8.302,5
4.367,-2.047,-8.31,5
4.367,-2.035,-8.298,5
4.352,-2.022,-8.3,5
4.327,-2.014,-8.31,5
4.303,-2.063,-8.273,5
4.303,-2.081,-8.267,5
4.328,-2.069,-8.292,5
4.352,-2.056,-8.269,5
4.372,-2.059,-8.249,5
4.384,-2.084,-8.237,5
4.397,-2.087,-8.235,5
4.402,-2.087,-8.239,5
4.389,-2.087,-8.251,5
4.405,-2.115,-8.264,5
4.424,-2.142,-8.271,5
4.424,-2.13,-8.259,6
4.449,-2.077,-8.267,5
4.464,-2.082,-8.235,5
4.476,-2.033,-8.235,5
4.489,-2.004,-8.242,5
4.501,-1.992,-8.254,5
4.489,-1.979,-8.254,5
4.476,-1.978,-8.249,5
4.464,-1.99,-8.237,5
4.452,-1.969,-8.246,5
4.444,-1.949,-8.25,5
4.444,-1.937,-8.238,5
4.434,-1.944,-8.245,5
4.424,-1.956,-8.26,5
4.424,-1.968,-8.285,5
4.416,-1.998,-8.293,5
4.407,-2.033,-8.289,5
4.419,-2.058,-8.265,5
4.41,-2.118,-8.269,5
4.387,-2.203,-8.293,5
4.399,-2.24,-8.305,5
