x,y,z,delta de t
1.524,3.785,10.128,5
0.573,3.254,9.696,5
0.335,3.075,9.826,5
0.453,3.078,10.123,5
0.7,3.189,9.753,5
0.52,3.13,9.724,5
-0.035,2.919,9.969,5
-3.097,1.659,11.142,6
-4.261,0.925,11.818,5
-3.311,0.777,11.942,5
-1.985,1.505,11.144,5
-1.252,1.997,10.341,5
-1.586,1.96,9.662,5
-1.854,1.604,9.293,5
-2.109,1.177,8.993,5
-1.663,1.08,9.22,5
-0.51,1.489,10.027,5
0.66,1.979,10.878,5
1.068,2.14,11.224,5
1.354,2.149,11.403,5
1.551,2.064,11.46,5
1.551,1.99,11.25,5
1.533,2.035,10.688,5
1.496,2.195,9.787,5
1.659,2.379,9.418,5
1.902,2.65,8.832,5
2.248,3.045,7.893,5
2.182,3.092,7.388,5
1.968,3.035,6.873,5
1.573,2.874,6.17,5
1.466,2.797,5.995,5
1.453,2.703,6.042,5
1.441,2.432,6.276,5
1.429,2.296,6.519,5
1.485,2.236,6.839,5
2.186,2.188,7.837,5
2.884,2.282,8.731,6
3.577,2.526,9.514,5
4.293,2.835,10.034,5
5.015,3.323,10.367,5
5.743,4.039,10.466,5
7.186,3.898,8.013,5
7.552,3.672,6.14,5
5.651,3.486,6.004,5
4.81,2.922,6.598,5
4.468,2.433,7.251,5
4.814,2.52,7.461,5
4.787,2.437,8.11,5
4.586,2.29,8.923,5
4.364,2.228,9.478,5
4.357,2.023,10.343,5
4.506,1.721,11.404,5
4.679,1.647,11.651,5
4.87,1.608,12.016,5
5.08,1.608,12.509,5
5.175,1.654,12.202,5
5.768,1.711,11.173,5
7.246,1.854,9.107,5
7.812,2.057,8.406,5
8.235,2.328,7.668,5
8.865,2.859,6.15,5
9.014,3.042,5.451,5
8.876,3.11,5.145,5
8.247,3.271,5.22,5
7.747,3.332,5.446,6
7.24,3.323,5.749,5
5.511,3.187,5.798,5
4.438,3.052,5.867,5
3.981,2.916,5.953,5
3.537,2.804,6.647,5
3.296,2.754,7.083,5
3.345,2.791,7.12,5
4.011,2.923,7.433,5
4.658,3.033,7.745,5
5.04,3.058,7.955,5
5.704,3.092,8.287,5
6.319,3.114,8.598,5
6.406,3.077,8.685,5
6.452,2.945,8.792,5
6.39,2.871,8.803,5
6.316,2.859,8.729,5
5.962,2.833,8.13,5
5.382,2.796,7.106,5
5.074,2.759,6.563,5
4.566,2.694,5.466,5
3.813,2.595,3.688,5
3.624,2.618,3.184,5
3.556,2.626,2.728,5
3.593,2.576,2.086,5
3.826,2.546,1.875,5
4.332,2.51,1.98,5
5.529,2.436,2.72,5
6.078,2.37,3.308,6
6.355,2.314,3.983,5
6.738,2.289,5.625,5
6.903,2.279,6.541,5
6.902,2.283,6.943,5
6.569,2.407,7.202,5
6.302,2.47,7.24,5
6.104,2.47,7.042,5
5.593,2.459,6.353,5
5.412,2.428,6.002,5
5.239,2.366,5.619,5
4.902,2.304,4.704,5
4.628,2.26,3.906,5
4.604,2.26,3.696,5
4.875,2.206,3.827,5
5.256,2.162,4.108,5
5.626,2.261,4.491,5
5.973,2.259,5.074,5
6.28,2.192,5.726,5
6.243,2.056,5.713,5
6.341,1.998,5.489,5
6.563,2.01,5.069,5
6.689,2.023,4.781,5
7.071,2.071,4.311,5
7.812,2.17,3.583,5
8.103,2.162,3.539,5
8.434,2.168,3.764,5
9.002,2.242,4.345,5
9.249,2.25,4.623,6
9.502,2.243,4.816,5
10.144,2.255,5.038,5
10.493,2.284,5.179,5
10.716,2.34,5.349,5
11.148,2.55,6.102,5
11.387,2.656,6.559,5
11.472,2.682,6.777,5
11.374,2.768,6.283,5
11.163,2.821,5.851,5
10.817,2.833,5.493,5
9.78,2.923,4.522,5
8.986,2.979,3.767,5
8.776,2.954,3.533,5
8.902,2.86,3.199,5
9.167,2.774,2.961,5
9.599,2.761,3.084,5
10.754,2.818,3.922,5
12.061,2.885,4.964,5
12.419,2.835,5.384,5
12.462,2.547,6.003,5
12.288,2.095,6.758,5
12.248,1.86,7.436,5
12.377,2.018,8.094,5
12.464,2.228,8.86,5
12.527,2.217,9.173,5
12.464,2.097,9.687,5
12.205,1.825,10.563,5
11.884,1.657,10.696,5
11.336,1.498,10.445,6
10.25,1.313,9.593,5
9.679,1.227,9.293,5
9.198,1.122,9.06,5
8.272,0.764,8.221,5
7.813,0.546,7.615,5
7.632,0.408,7.116,5
7.496,0.248,6.277,5
7.412,0.178,5.886,5
7.375,0.191,5.899,5
7.278,0.336,6.297,5
7.226,0.431,6.568,5
7.238,0.456,6.654,5
7.211,0.361,6.832,5
7.187,0.254,6.975,5
7.215,0.172,6.879,5
7.268,0.134,6.619,5
7.327,0.128,6.354,5
7.377,0.19,6.243,5
7.418,0.358,6.016,5
7.438,0.556,5.756,5
7.327,0.569,5.682,5
6.986,0.588,5.574,5
6.473,0.612,5.439,5
6.386,0.562,5.439,5
6.277,0.507,5.61,5
6.141,0.446,5.98,5
6.118,0.44,6.149,5
6.167,0.427,6.465,6
6.328,0.39,7.082,5
6.399,0.383,7.301,5
6.458,0.376,7.38,5
6.544,0.352,7.331,5
6.578,0.362,7.212,5
6.63,0.409,7.101,5
6.901,0.585,7.197,5
7.037,0.742,7.219,5
7.044,0.766,7.263,5
6.958,0.779,6.955,5
6.853,0.785,6.726,5
6.73,0.785,6.578,5
6.513,0.726,6.173,5
6.354,0.689,5.938,5
6.292,0.689,5.987,5
6.158,0.699,6.078,5
6.045,0.712,6.155,5
6.021,0.724,6.18,5
6.142,0.8,6.332,5
6.294,0.892,6.518,5
6.356,0.954,6.654,5
6.449,1.055,6.782,5
6.551,1.166,6.889,5
6.551,1.141,6.815,5
6.472,1.097,6.754,5
6.323,1.035,6.704,5
6.284,0.997,6.752,5
6.204,0.953,6.721,6
6.085,0.938,6.684,5
6.072,0.938,6.641,5
6.092,0.946,6.575,5
6.154,0.971,6.477,5
6.215,0.986,6.455,5
6.291,1.018,6.407,5
6.414,1.116,6.198,5
6.446,1.14,6.146,5
6.419,1.128,6.184,5
6.283,1.116,6.319,5
6.211,1.124,6.427,5
6.185,1.15,6.514,5
6.099,1.237,6.613,5
6.041,1.283,6.654,5
6.016,1.283,6.629,5
5.913,1.294,6.39,5
5.851,1.315,6.22,5
5.876,1.352,6.208,5
5.98,1.43,6.346,5
6.081,1.503,6.483,5
6.118,1.54,6.52,5
6.189,1.633,6.634,5
6.229,1.706,6.646,5
6.253,1.718,6.646,5
6.278,1.783,6.556,5
6.306,1.877,6.418,5
6.38,1.89,6.442,5
6.485,1.939,6.523,6
6.621,2.026,6.659,5
6.686,2.053,6.689,5
6.733,2.038,6.753,5
6.757,1.964,6.876,5
6.677,1.953,7.021,5
6.505,1.953,7.213,5
6.16,1.953,7.509,5
5.952,1.898,7.493,5
5.768,1.833,7.362,5
5.484,1.809,7.201,5
5.295,1.784,7.2,5
5.141,1.754,7.25,5
4.808,1.667,6.941,5
4.674,1.648,6.739,5
4.711,1.685,6.628,5
5.078,1.807,6.956,5
5.324,1.855,7.219,5
5.41,1.806,7.392,5
5.475,1.909,7.795,5
5.52,2.045,8.107,5
5.533,2.205,8.181,5
5.671,2.356,8.381,5
5.815,2.462,8.576,5
5.864,2.425,8.637,5
5.83,2.363,8.624,5
5.746,2.295,8.568,5
5.598,2.27,8.469,5
5.237,2.16,8.257,5
4.728,1.99,7.965,6
4.592,1.916,7.854,5
4.444,1.877,7.83,5
4.284,1.877,7.904,5
4.305,1.922,7.978,5
4.356,1.978,8.019,5
4.431,2.045,8.002,5
4.501,2.099,7.973,5
4.508,2.023,7.814,5
4.532,1.999,7.74,5
4.513,1.974,7.71,5
4.47,1.961,7.718,5
4.396,2.011,7.829,5
4.314,2.015,7.849,5
4.212,1.979,7.804,5
3.866,1.769,7.631,5
3.659,1.628,7.521,5
3.585,1.554,7.472,5
3.322,1.598,7.351,5
3.15,1.643,7.258,5
3.126,1.68,7.209,5
3.27,1.812,7.096,5
3.409,1.919,6.995,5
3.471,1.931,6.946,5
3.56,1.878,6.868,5
3.639,1.807,6.797,5
3.639,1.745,6.784,5
3.528,1.654,6.87,5
3.358,1.547,7.009,6
3.258,1.494,7.167,5
3.103,1.454,7.408,5
2.893,1.417,7.717,5
2.819,1.405,7.829,5
2.695,1.381,8,5
2.51,1.344,8.247,5
2.479,1.296,8.307,5
2.416,1.192,8.353,5
2.256,0.983,8.414,5
2.163,0.841,8.427,5
2.06,0.72,8.381,5
1.863,0.609,8.183,5
1.809,0.566,8.028,5
1.844,0.563,7.864,5
2.029,0.625,7.518,5
2.172,0.658,7.324,5
2.291,0.667,7.229,5
2.674,0.568,6.884,5
2.932,0.481,6.686,5
3.056,0.407,6.649,5
3.407,0.087,6.619,5
3.648,-0.148,6.575,5
3.673,-0.185,6.489,5
3.698,-0.201,6.168,5
3.696,-0.197,5.798,5
3.622,-0.147,5.428,5
3.494,-0.125,5.146,5
3.388,-0.102,4.925,6
3.487,-0.028,4.826,5
3.723,0.076,4.864,5
4.058,0.183,5.006,5
4.588,0.059,5.401,5
4.929,-0.044,5.72,5
5.089,-0.13,5.967,5
5.095,-0.181,6.499,5
5.09,-0.185,6.996,5
5.077,-0.123,7.429,5
5.065,-0.114,7.723,5
5.083,-0.111,7.891,5
5.17,-0.098,7.829,5
5.396,-0.03,7.721,5
5.731,0.063,7.578,5
6.165,0.123,7.378,5
6.293,0.123,7.236,5
6.383,0.137,7.136,5
