x,y,z,dt
1.905,-13.895,-3.447,10
2.135,-16.347,-5.449,10
1.829,-17.056,-6.435,9
0.622,-16.95,-3.964,10
-0.421,-16.443,-1.589,10
-1.551,-15.581,-2.432,10
-2.968,-16.347,-3.485,9
-4.577,-17.86,-5.142,10
-3.725,-16.27,-7.383,10
-2.892,-12.114,-8.628,10
-1.005,-8.82,-6.809,10
0.488,-8.312,-4.654,9
1.015,-9.481,-3.303,10
1.455,-10.591,-4.022,10
0.746,-12.038,-6.167,10
-0.507,-12.746,-7.249,9
-2.509,-13.043,-7.479,10
-3.648,-12.057,-7.144,10
-3.476,-10.342,-6.617,10
-2.987,-8.896,-5.449,9
-2.231,-7.929,-4.06,10
-1.484,-7.125,-2.738,10
-0.833,-5.803,-2.183,10
-0.105,-3.734,-1.628,10
0.545,-1.762,-2.001,9
1.34,-0.057,-1.522,10
1.8,0.9,-1.369,10
1.944,0.986,-1.905,10
1.723,0.45,-2.413,9
1.426,-0.699,-2.298,10
1.292,-2.279,-1.522,10
1.34,-3.763,-0.536,10
1.139,-4.951,0.392,9
1.139,-4.951,1.273,10
0.555,-5.65,1.273,10
-0.21,-5.793,2.097,10
-1.034,-5.41,2.863,10
-1.57,-5.008,3.303,9
-2.202,-5.161,3.38,10
-2.633,-5.583,3.236,10
-3.083,-6.684,3.198,9
-3.064,-7.584,2.7,10
-2.652,-8.37,1.752,10
-2.193,-9.442,0.268,10
-1.369,-11.032,-3.265,10
-1.091,-13.455,-11.798,9
-3.926,-14.547,-17.496,10
-6.751,-13.177,-13.742,10
-6.971,-12.363,-7.565,10
-6.1,-12.717,0.153,9
-3.543,-13.962,5.401,10
-1.072,-15.16,8.341,10
-0.574,-15.227,8.216,10
-1.091,-14.642,1.312,9
2.901,-12.057,-4.098,10
7.489,-10.907,-2.183,10
8.418,-13.56,-1.082,10
5.458,-17.094,-4.721,10
4.683,-17.554,-7.489,9
4.309,-16.098,-7.326,10
3.303,-14.911,-1.57,10
3.495,-13.848,4.213,10
3.983,-13.713,2.901,9
3.754,-13.158,-1.915,10
3.725,-12.392,-5.544,10
2.537,-11.511,-4.587,10
