x,y,z,dt
1.608,-11.568,1.158,9
2.346,-8.274,-0.411,10
3.074,-7.058,-0.842,10
3.332,-7.354,0.086,10
3.007,-8.35,0.785,10
2.585,-8.896,1.417,9
2.375,-8.992,1.953,10
2.375,-8.992,2.202,10
2.576,-9.05,2.202,10
2.681,-9.165,2.375,9
2.662,-9.002,2.097,10
2.557,-8.283,1.235,10
2.422,-7.374,0.478,10
2.183,-6.531,0.057,10
2.231,-5.631,-0.612,9
2.24,-4.711,-1.915,10
1.829,-4.223,-2.691,10
1.388,-4.922,-1.417,9
1.57,-6.282,0.545,10
2.652,-7.45,0.574,10
4.089,-8.753,-1.484,10
5.161,-9.892,-3.179,10
4.721,-11.137,-2.853,9
3.39,-11.789,-2.173,10
2.92,-11.252,-0.191,10
4.175,-10.419,2.815,10
5.88,-9.911,4.261,9
7.651,-10.39,3.217,10
10.85,-11.683,-1.886,10
12.593,-13.503,-2.633,10
11.645,-14.805,0.287,9
9.471,-13.876,-1.972,10
7.335,-12.497,-2.461,10
6.311,-12.459,-0.794,10
6.512,-12.277,-2.25,10
7.393,-11.626,-2.25,9
7.91,-11.482,0.699,10
7.354,-11.999,2.442,10
6.09,-12.976,2.825,10
5.324,-13.56,3.284,9
4.951,-14.173,3.888,10
4.395,-15.169,3.351,10
3.725,-16.654,1.58,10
2.997,-18.588,-0.679,9
2.116,19.871,-3.916,10
1.283,17.065,-6.876,10
0.938,17.439,-4.778,10
0.153,-20.168,-0.459,9
-0.325,-16.156,3.093,10
0.143,-13.177,5.477,10
0.306,-10.783,6.09,10
0.699,-8.896,4.797,10
1.35,-6.866,2.729,9
1.838,-4.922,1.063,10
2.011,-3.581,0.545,10
2.308,-2.624,0.833,10
2.422,-2.097,1.264,10
2.547,-1.972,1.781,9
2.384,-1.896,2.729,10
1.599,-2.001,3.524,10
0.287,-2.413,3.983,9
-0.938,-2.777,4.022,10
-2.02,-2.863,3.849,10
-3.083,-2.767,3.323,10
-3.926,-2.729,2.652,9
-4.587,-2.671,1.867,10
-4.52,-2.624,1.244,10
-3.581,-2.566,0.478,10
-2.365,-2.384,-0.296,10
-1.034,-2.183,-1.283,9
0.229,-2.145,-2.212,10
0.229,-2.145,-2.212,10
1.388,-2.451,-3.476,10
2.633,-3.447,-6.205,9
4.529,-6.339,-11.501,10
9.528,-13.417,19.306,10
15.227,19.412,15.533,10
15.571,15.562,-14.508,9
14.164,15.84,-6.071,10
13.484,17.314,-2.853,10
10.544,-17.745,-3.332,10
4.577,-10.726,-7.354,9
-0.191,-7.479,-10.304,10
-2.327,-6.607,-8.111,10
-3.064,-9.203,-4.098,10
0.335,-13.206,5.008,10
5.573,-15.045,11.147,9
9.682,-15.313,8.657,10
7.402,-11.032,6.253,10
1.896,-5.228,0.555,10
-2.212,-0.603,-2.652,9
-2.748,0.536,-2.049,10
-0.928,-1.398,4.06,10
0.497,-3.801,6.971,10
1.465,-7.096,7.843,9
2.691,-10.85,8.149,10
4.242,-13.599,5.765,10
6.684,-15.179,-0.555,10
