x,y,z,dt
0.469,-2.24,-8.906,10
0.469,-2.231,-8.829,10
0.459,-2.24,-8.801,9
0.411,-2.25,-8.743,10
0.392,-2.25,-8.734,10
0.383,-2.24,-8.753,10
0.344,-2.24,-8.781,9
0.344,-2.25,-8.781,10
0.354,-2.26,-8.801,10
0.344,-2.298,-8.801,10
0.296,-2.317,-8.772,9
0.248,-2.317,-8.772,10
0.229,-2.308,-8.753,10
0.162,-2.279,-8.714,10
0.143,-2.269,-8.714,9
0.134,-2.269,-8.734,10
0.172,-2.288,-8.762,10
0.181,-2.317,-8.781,10
0.21,-2.336,-8.801,10
0.268,-2.288,-8.848,9
0.373,-2.279,-8.877,10
0.44,-2.269,-8.839,10
0.488,-2.288,-8.829,10
0.497,-2.298,-8.791,9
0.536,-2.269,-8.781,10
0.565,-2.193,-8.772,10
0.565,-2.202,-8.772,10
0.584,-2.173,-8.781,9
0.555,-2.202,-8.801,10
0.584,-2.202,-8.839,10
0.565,-2.193,-8.858,10
0.545,-2.202,-8.887,9
0.536,-2.202,-8.896,10
0.507,-2.221,-8.896,10
0.497,-2.25,-8.868,10
0.478,-2.231,-8.839,10
0.469,-2.202,-8.877,9
0.459,-2.193,-8.935,10
0.43,-2.221,-8.983,10
0.392,-2.24,-8.973,10
0.383,-2.26,-8.935,9
0.335,-2.279,-8.848,10
0.325,-2.25,-8.762,10
0.354,-2.231,-8.714,10
0.354,-2.231,-8.686,9
0.363,-2.193,-8.714,10
0.325,-2.193,-8.705,10
0.268,-2.221,-8.734,10
0.248,-2.231,-8.753,10
0.229,-2.221,-8.781,9
0.22,-2.231,-8.801,10
0.22,-2.24,-8.791,10
0.22,-2.279,-8.791,10
0.21,-2.308,-8.743,9
0.191,-2.384,-8.734,10
0.21,-2.375,-8.695,10
0.22,-2.375,-8.667,10
0.21,-2.365,-8.676,9
0.248,-2.375,-8.676,10
0.268,-2.394,-8.686,10
0.248,-2.442,-8.714,10
0.201,-2.442,-8.714,9
0.201,-2.451,-8.714,10
0.191,-2.48,-8.676,10
0.153,-2.47,-8.667,10
0.239,-2.422,-8.714,9
0.277,-2.355,-8.734,10
0.306,-2.327,-8.781,10
0.344,-2.269,-8.82,10
0.392,-2.288,-8.82,10
0.383,-2.288,-8.829,9
0.363,-2.279,-8.829,10
0.373,-2.288,-8.81,10
0.363,-2.24,-8.781,10
0.383,-2.221,-8.772,9
0.363,-2.212,-8.781,10
