x,y,z,dt
3.016,0.411,-8.283,10
3.371,0.603,-8.044,10
3.821,0.67,-7.671,10
4.06,0.612,-7.546,9
4.175,0.794,-7.527,10
4.07,0.986,-7.374,10
3.926,0.919,-7.412,10
3.801,0.727,-7.584,9
3.466,0.632,-7.584,10
3.275,0.785,-7.479,10
2.767,0.804,-7.613,10
2.509,0.861,-7.833,9
2.796,1.11,-8.063,10
2.901,0.861,-8.274,10
2.576,0.612,-8.647,10
2.863,0.833,-8.59,10
3.217,0.756,-8.638,9
3.409,0.852,-8.81,10
3.409,0.852,-8.858,10
3.706,0.737,-8.858,10
3.888,0.584,-9.04,9
4.079,-0.038,-9.203,10
4.06,0.497,-9.002,10
4.012,0.009,-8.532,10
3.897,0.316,-8.015,9
3.84,0.823,-7.584,10
3.897,1.177,-7.584,10
3.983,1.455,-7.881,10
4.29,2.164,-8.418,9
4.453,1.829,-8.973,10
4.395,1.493,-9.375,10
4.137,1.331,-9.145,10
3.476,1.35,-8.973,10
3.064,0.833,-8.35,9
2.834,0.517,-7.699,10
2.968,0.699,-7.469,10
3.026,0.296,-7.489,10
2.911,0.229,-7.795,9
2.671,0.009,-8.264,10
2.624,-0.335,-8.638,10
2.585,-0.622,-8.753,10
2.729,-1.177,-8.695,9
2.786,-1.043,-8.743,10
2.901,-0.89,-8.676,10
3.064,-0.603,-8.58,10
3.217,-0.316,-8.504,10
3.495,-0.143,-8.628,9
3.763,-0.153,-8.839,10
3.955,-0.201,-9.126,10
3.955,-0.287,-9.356,10
3.821,-0.354,-9.442,9
3.658,-0.268,-9.327,10
3.6,-0.114,-9.097,10
3.466,0.047,-8.829,10
3.246,0.335,-8.571,9
2.949,0.43,-8.341,10
2.576,0.507,-8.015,10
2.748,0.708,-8.006,10
3.131,0.861,-7.987,9
3.438,0.976,-8.015,10
3.706,0.948,-7.833,10
3.677,0.574,-7.795,10
3.418,0.488,-7.843,10
3.303,0.411,-7.872,9
3.265,0.325,-7.9,10
3.198,0.411,-7.967,10
3.112,0.622,-8.025,10
3.064,0.775,-8.006,9
3.035,0.689,-8.207,10
3.102,0.632,-8.398,10
3.189,0.612,-8.571,10
3.342,0.497,-8.772,9
3.476,0.373,-8.896,10
3.62,0.469,-9.107,10
3.706,0.21,-9.385,10
3.572,0.287,-9.394,10
3.361,0.555,-9.03,9
3.141,0.612,-8.513,10
3.007,0.565,-8.092,10
3.093,0.565,-7.881,10
3.16,0.536,-7.738,9
3.16,0.536,-7.738,10
3.39,0.536,-7.776,10
3.62,0.507,-7.958,10
3.821,0.459,-8.188,9
3.926,0.43,-8.379,10
