x,y,z,dt
-0.296,-10.103,-0.335,10
-0.44,-10.026,-0.287,9
-0.641,-9.95,-0.354,10
-0.814,-9.931,-0.488,10
-0.938,-9.902,-0.66,10
-0.995,-9.806,-0.804,9
-0.986,-9.73,-0.881,10
-0.842,-9.72,-0.842,10
-0.718,-9.806,-0.766,10
-0.603,-9.95,-0.919,9
-0.44,-9.998,-0.919,10
-0.296,-9.959,-0.756,10
-0.239,-9.969,-0.584,10
-0.201,-9.988,-0.497,10
-0.191,-9.94,-0.517,9
-0.248,-9.95,-0.593,10
-0.335,-9.95,-0.756,10
-0.469,-9.94,-0.919,10
-0.411,-9.911,-0.976,9
-0.507,-9.883,-1.063,10
-0.641,-9.854,-1.168,10
-0.804,-9.94,-1.225,10
-0.871,-9.959,-1.273,9
-0.948,-9.94,-1.216,10
-0.986,-9.931,-1.139,10
-1.043,-9.959,-1.13,10
-1.072,-9.931,-1.216,10
-1.043,-9.921,-1.264,9
-0.986,-9.902,-1.225,10
-0.919,-9.844,-1.177,10
-0.928,-9.806,-1.091,10
-0.948,-9.816,-0.957,9
-0.919,-9.806,-0.938,10
-0.833,-9.768,-1.015,10
-0.689,-9.787,-1.091,10
-0.565,-9.816,-1.043,9
-0.536,-9.825,-0.938,10
-0.555,-9.825,-0.909,10
-0.526,-9.787,-0.948,10
-0.469,-9.749,-1.034,9
-0.383,-9.73,-1.072,10
-0.335,-9.739,-1.13,10
-0.363,-9.777,-1.091,10
-0.411,-9.873,-1.015,9
-0.411,-9.931,-0.995,10
-0.383,-9.95,-1.082,10
-0.354,-9.959,-1.177,10
-0.306,-9.883,-1.072,10
-0.296,-9.825,-0.89,9
-0.296,-9.835,-0.746,10
-0.306,-9.806,-0.737,10
-0.392,-9.883,-0.842,10
-0.43,-9.864,-0.938,9
-0.43,-9.835,-0.9,10
-0.459,-9.883,-0.852,10
-0.526,-9.94,-0.833,10
-0.526,-9.94,-0.833,9
-0.603,-9.969,-0.938,10
-0.689,-9.911,-0.986,10
-0.718,-9.835,-0.986,10
-0.746,-9.883,-0.995,10
-0.746,-9.883,-0.957,9
-0.746,-9.921,-0.919,10
-0.775,-9.911,-0.842,10
-0.794,-9.854,-0.842,10
-0.785,-9.892,-0.794,9
-0.727,-9.911,-0.718,10
-0.67,-9.94,-0.699,10
-0.584,-10.017,-0.708,10
-0.536,-10.046,-0.679,9
-0.526,-10.026,-0.766,10
-0.478,-9.921,-0.823,10
-0.45,-9.806,-0.775,10
-0.469,-9.777,-0.814,9
-0.488,-9.768,-0.89,10
-0.43,-9.797,-0.9,10
-0.344,-9.816,-0.9,10
-0.296,-9.911,-0.9,10
-0.344,-9.969,-0.909,9
-0.44,-9.959,-1.015,10
-0.526,-9.921,-1.101,10
-0.574,-9.835,-1.082,10
-0.584,-9.816,-0.948,9
-0.545,-9.873,-0.948,10
-0.421,-9.883,-1.024,10
-0.296,-9.883,-1.091,10
-0.201,-9.892,-1.101,10
-0.22,-9.911,-1.197,9
-0.306,-9.892,-1.206,10
-0.287,-9.777,-0.871,10
-0.277,-9.653,-0.354,9
-0.363,-9.739,-0.325,10
-0.344,-9.844,-0.603,10
-0.258,-9.892,-0.881,10
-0.153,-9.892,-1.072,9
-0.086,-9.998,-1.187,10
-0.028,-10.093,-1.187,10
0.047,-10.065,-1.034,10
0.105,-10.007,-0.775,10
0.009,-9.95,-0.785,9
-0.067,-9.844,-1.063,10
-0.047,-9.71,-1.082,10
0.038,-9.567,-0.89,10
0.114,-9.605,-0.746,9
0.038,-9.73,-0.651,10
-0.028,-9.873,-0.718,10
-0.095,-9.969,-0.9,13
-0.086,-9.979,-1.043,7
0.038,-9.911,-1.091,9
0.162,-9.768,-0.967,10
0.162,-9.672,-0.814,10
0.114,-9.557,-0.727,10
0.086,-9.605,-0.766,9
0.191,-9.643,-0.986,10
0.383,-9.768,-1.053,10
0.43,-9.892,-0.948,10
0.325,-10.007,-0.833,9
0.229,-10.026,-0.89,10
0.038,-10.026,-0.833,10
0.038,-10.007,-0.833,10
-0.134,-9.892,-0.708,9
-0.344,-9.797,-0.737,10
-0.641,-9.825,-0.938,10
-0.727,-9.902,-1.101,10
-0.603,-9.883,-0.89,9
-0.545,-9.873,-0.593,10
-0.574,-9.864,-0.316,10
-0.66,-9.95,-0.162,10
-0.507,-9.241,-0.248,10
-1.024,-9.835,-0.363,9
-1.264,-10.668,-0.469,10
-1.273,-10.553,-0.316,10
-1.436,-10.381,-0.268,10
-1.704,-10.275,-0.612,9
-1.532,-10.007,-0.814,10
-0.957,-9.816,-0.871,10
-0.507,-9.72,-0.861,10
-0.21,-9.739,-0.842,9
0.009,-9.768,-0.785,10
0.153,-9.864,-0.756,10
0.191,-9.902,-0.794,10
0.076,-9.873,-0.804,10
-0.114,-9.892,-0.823,9
-0.306,-9.959,-0.775,10
-0.335,-10.122,-0.756,10
-0.344,-10.113,-0.718,10
-0.344,-9.998,-0.766,9
-0.258,-9.95,-0.967,10
-0.201,-9.931,-1.053,10
-0.239,-9.864,-0.89,10
-0.335,-9.931,-0.823,9
-0.478,-9.998,-0.804,10
-0.574,-10.017,-0.746,10
-0.718,-9.95,-0.66,10
-0.622,-9.864,-0.545,9
-0.392,-9.835,-0.383,10
-0.21,-9.864,-0.402,10
-0.038,-9.825,-0.488,10
0.076,-9.739,-0.488,9
0.047,-9.73,-0.411,10
-0.057,-9.835,-0.316,10
-0.258,-9.902,-0.229,10
-0.497,-9.931,-0.268,10
-0.66,-9.921,-0.373,9
-0.727,-9.94,-0.45,10
-0.823,-9.969,-0.44,10
-0.948,-9.988,-0.45,10
-1.034,-9.921,-0.469,9
-1.063,-9.883,-0.565,10
-0.976,-9.902,-0.632,10
-0.852,-9.883,-0.632,10
-0.708,-9.959,-0.507,9
-0.651,-10.026,-0.383,10
-0.679,-10.074,-0.306,10
-0.823,-10.036,-0.306,10
-0.948,-9.95,-0.316,10
-1.063,-9.902,-0.421,9
-1.12,-9.921,-0.555,10
-1.168,-9.94,-0.603,10
-1.177,-9.931,-0.517,10
-1.101,-9.864,-0.421,9
-1.101,-9.864,-0.421,10
-1.015,-9.825,-0.363,10
-0.919,-9.797,-0.306,10
-0.833,-9.825,-0.316,9
-0.727,-9.825,-0.354,10
-0.641,-9.835,-0.402,10
-0.593,-9.864,-0.507,10
-0.526,-9.873,-0.641,9
-0.469,-9.911,-0.775,10
-0.45,-9.95,-0.823,10
-0.411,-9.988,-0.938,10
-0.411,-9.998,-1.015,10
-0.421,-9.969,-1.063,9
-0.411,-9.911,-1.13,10
-0.363,-9.892,-1.149,10
-0.306,-9.94,-1.101,10
-0.363,-10.036,-1.015,9
-0.469,-10.065,-0.976,10
-0.469,-10.093,-0.967,10
-0.411,-10.055,-0.909,10
