x,y,z,dt
8.513,-2.308,0.201,9
9.069,-10.773,9.777,10
7.91,-19.45,13.752,10
6.311,-19.45,10.046,10
6.311,9.002,10.046,10
-1.781,2.595,1.953,9
-7.307,13.215,-2.039,10
-4.778,-14.144,-4.481,10
-2.518,-7.546,-4.472,10
-1.053,-5.075,-1.369,9
0.507,-6.962,2.164,10
1.953,-10.362,4.271,10
2.451,-12.334,2.432,10
3.112,-12.67,-2.815,10
3.715,-11.75,-5.573,9
3.141,-10.199,-4.118,10
2.183,-8.82,-1.024,10
1.225,-7.613,1.235,9
0.565,-6.828,1.589,10
-0.497,-6.789,-0.191,10
-0.986,-6.847,-2.461,10
-1.168,-7.153,-3.983,10
-0.43,-7.422,-3.514,9
0.22,-7.891,-2.595,10
1.388,-8.082,-2.039,10
2.681,-7.718,-1.81,10
3.141,-7.077,-1.819,9
3.246,-6.77,-2.422,10
3.773,-6.694,-3.189,10
4.156,-6.56,-3.974,10
3.859,-6.32,-3.859,10
2.614,-6.09,-2.432,9
2.087,-5.899,-0.392,10
2.231,-6.196,1.666,10
3.495,-7.728,4.721,9
4.367,-10.888,7.776,10
4.395,-14.595,9.739,10
4.797,-18.626,10.63,10
5.238,20.475,7.393,10
5.305,18.406,-1.465,9
2.346,17.755,-6.157,10
-0.995,20.168,-5.228,10
-1.8,-18.751,-2.911,10
-2.221,-17.506,-0.354,9
-2.604,-16.385,2.145,10
-2.652,-15.169,5.257,10
-1.331,-14.202,6.196,10
1.177,-14.125,3.792,10
2.767,-16.682,1.446,9
4.156,-17.956,-1.742,10
3.428,-17.257,-4.175,10
0.593,-14.077,-5.114,9
-2.968,-10.18,-3.773,10
-6.1,-7.182,-2.432,10
-8.341,-5.372,-1.091,10
-7.469,-4.156,0.124,10
-3.169,-3.102,1.216,9
0.651,-1.771,1.34,10
3.524,0.124,1.244,10
5.219,2.059,0.019,10
5.295,2.738,-1.857,10
3.122,1.446,-3.275,9
0.785,-0.076,-2.288,10
-0.766,-1.551,-0.507,10
-2.03,-3.39,0.699,9
-2.873,-5.104,1.005,10
-2.873,-5.104,0.258,10
-2.873,-6.675,0.258,10
-2.269,-7.91,-0.909,10
-1.522,-8.973,-2.001,9
-1.101,-9.624,-2.815,10
-1.177,-9.816,-3.706,10
-1.541,-9.844,-4.395,10
-1.762,-9.749,-4.347,9
-1.513,-9.299,-2.719,10
-0.469,-8.638,-0.354,10
0.689,-8.599,1.886,10
1.484,-9.155,3.303,9
1.647,-9.758,3.524,10
1.35,-9.519,2.173,10
2.001,-7.584,0.067,10
3.476,-4.539,0.507,9
3.964,-1.264,0.584,10
4.108,2.03,0.67,10
4.261,5.401,1.015,10
3.265,7.22,0.363,10
