# Accelerometer Data File
# Started @Mon May 08 23:02:38 GMT+02:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: BMA2X2 Accelerometer/Temperature/Double-tap
# sensor Resolution: 0.01914978m/sec^2; Max Range: 39.226593; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-0.178 8.589 5.457 5
-0.288 8.686 5.235 6
-0.433 8.784 5.228 5
-0.494 8.81 5.445 5
-0.389 8.829 5.651 5
-0.298 8.811 5.754 5
-0.205 8.791 5.755 5
-0.111 8.754 5.57 5
0.025 8.813 5.392 5
0.017 8.9 5.27 5
-0.111 8.957 5.213 5
-0.146 9.051 5.173 5
-0.072 9.158 5.206 5
0.013 9.219 5.293 5
0.075 9.268 5.397 5
0.172 9.323 5.627 5
0.182 9.317 5.944 5
0.162 9.298 6.261 5
0.113 9.307 6.556 5
0.04 9.295 6.721 5
-0.1 9.319 6.75 5
-0.32 9.36 6.676 5
-0.583 9.373 6.625 5
-0.853 9.469 6.6 5
-1.123 9.551 6.653 5
-1.459 9.648 6.684 5
-1.769 9.685 6.779 5
-1.972 9.777 7.047 5
-1.995 9.855 7.301 5
-1.97 9.9 7.497 6
-1.946 9.845 7.735 5
-1.972 9.795 7.936 5
-1.905 9.72 7.968 5
-1.819 9.694 7.94 5
-1.835 9.726 7.835 5
-1.897 9.802 7.664 5
-2.043 9.881 7.439 5
-2.196 9.973 7.252 5
-2.298 10.017 7.048 5
-2.4 9.987 6.857 5
-2.37 9.939 6.621 5
-2.273 9.896 6.45 5
-2.175 9.81 6.217 5
-2.01 9.67 6.014 5
-1.846 9.51 5.908 5
-1.739 9.297 6.014 5
-1.577 9.151 6.184 5
-1.475 9.06 6.468 5
-1.546 8.997 6.684 5
-1.619 9.003 6.802 5
-1.738 8.99 6.872 5
-1.864 9.018 6.776 5
-1.979 8.983 6.663 5
-2.029 8.983 6.432 5
-2.012 9.016 6.138 5
-1.944 8.96 5.852 5
-1.854 8.928 5.494 5
-1.678 8.879 5.187 5
-1.421 8.793 4.964 6
-1.243 8.829 4.802 5
-1.059 8.809 4.711 5
-0.888 8.776 4.616 5
-0.755 8.758 4.576 5
-0.623 8.817 4.545 5
-0.549 8.878 4.472 5
-0.535 8.958 4.392 5
-0.522 9.069 4.162 5
-0.476 9.151 3.778 5
-0.608 9.193 3.545 5
-0.784 9.212 3.486 5
-0.759 9.251 3.708 5
-0.689 9.282 3.895 5
-0.735 9.308 4.093 5
-0.906 9.265 4.287 5
-0.976 9.185 4.546 5
-0.903 9.051 4.863 5
-0.738 8.967 5.188 5
-0.716 8.895 5.51 5
-0.696 8.831 5.694 5
-0.755 8.782 5.718 5
-0.804 8.733 5.533 5
-0.94 8.69 5.204 5
-1.006 8.655 4.86 5
-1.03 8.686 4.543 5
-1.033 8.697 4.274 5
-1.048 8.707 4.05 5
-1.084 8.708 3.795 6
-1.055 8.732 3.487 5
-1.11 8.707 3.271 5
-1.074 8.649 3.17 5
-0.99 8.59 3.117 5
-0.919 8.539 3.064 5
-0.938 8.41 3.098 5
-0.916 8.315 3.223 5
-0.899 8.194 3.304 5
-0.828 8.078 3.307 5
-0.667 8.014 3.256 5
-0.561 7.942 3.269 5
-0.608 7.947 3.257 5
-0.651 7.891 3.263 5
-0.773 7.882 3.19 5
-0.852 7.857 3.175 5
-0.94 7.834 3.237 5
-1.026 7.847 3.279 5
-1.097 7.822 3.31 5
-1.195 7.814 3.196 5
-1.244 7.768 3.028 5
-1.236 7.688 2.827 5
-1.212 7.629 2.545 5
-1.133 7.605 2.289 5
-1.01 7.65 1.94 5
-0.966 7.69 1.705 5
-0.879 7.714 1.617 5
-0.803 7.683 1.651 5
-0.79 7.732 1.797 6
-0.815 7.752 1.994 5
-0.839 7.809 2.099 5
-0.91 7.852 2.237 5
-0.976 7.845 2.392 5
-0.937 7.807 2.549 5
-0.863 7.777 2.696 5
-0.809 7.799 2.866 5
-0.746 7.824 2.969 5
-0.697 7.833 2.954 5
-0.612 7.833 2.811 5
-0.587 7.852 2.694 5
-0.535 7.879 2.547 5
-0.552 7.888 2.425 5
-0.544 7.902 2.378 5
-0.601 7.975 2.418 5
-0.639 7.987 2.438 5
-0.613 7.987 2.432 5
-0.659 8.025 2.441 5
-0.708 8.035 2.49 5
-0.727 8.089 2.539 5
-0.722 8.086 2.562 5
-0.618 8.14 2.471 5
-0.485 8.117 2.444 5
-0.389 8.068 2.468 5
-0.338 8.044 2.528 5
-0.314 8.044 2.536 5
-0.257 8.044 2.453 5
-0.285 8.063 2.338 6
-0.344 8.011 2.279 5
-0.452 8.035 2.299 5
-0.512 8.075 2.348 5
-0.577 8.084 2.27 5
-0.619 8.088 2.151 5
-0.583 8.075 2.09 5
-0.452 8.065 2.051 5
-0.37 8.022 2.052 5
-0.272 7.997 2.085 5
-0.147 7.959 2.134 5
-0.02 7.911 2.183 5
0.107 7.828 2.202 5
0.202 7.824 2.172 5
0.211 7.833 2.052 5
0.187 7.811 2.022 5
0.134 7.755 1.927 5
0.122 7.743 1.891 5
0.115 7.757 1.842 5
0.131 7.76 1.88 5
0.124 7.785 1.887 5
0.12 7.809 1.919 5
0.134 7.833 1.877 5
0.148 7.847 1.863 5
0.124 7.833 1.877 5
0.162 7.849 1.893 5
0.209 7.914 1.931 5
0.17 7.969 1.882 5
0.097 8.055 1.747 5
0.077 8.135 1.65 6
0.046 8.193 1.529 5
-0.026 8.3 1.418 5
-0.042 8.379 1.369 5
-0.076 8.408 1.245 5
-0.092 8.427 1.234 5
-0.144 8.416 1.271 5
-0.168 8.36 1.321 5
-0.208 8.365 1.494 5
-0.183 8.317 1.706 5
-0.184 8.268 1.875 5
-0.173 8.183 2.075 5
-0.141 8.182 2.36 5
-0.077 8.206 2.555 5
-0.071 8.245 2.643 5
-0.115 8.313 2.7 5
-0.158 8.343 2.665 5
-0.182 8.392 2.475 5
-0.289 8.457 2.231 5
-0.368 8.525 2.021 5
-0.424 8.573 1.93 5
-0.484 8.58 1.832 5
-0.569 8.525 1.836 5
-0.609 8.465 1.838 5
-0.66 8.456 1.848 5
-0.694 8.461 1.858 5
-0.688 8.446 1.818 5
-0.664 8.429 1.787 5
-0.628 8.367 1.834 6
-0.579 8.318 1.972 5
-0.593 8.271 2.103 5
-0.616 8.263 2.218 5
-0.69 8.3 2.293 5
-0.726 8.331 2.317 5
-0.827 8.312 2.492 5
-0.842 8.302 2.653 5
-0.872 8.338 2.711 5
-0.966 8.37 2.562 5
-1.173 8.357 2.458 5
-1.263 8.32 2.348 5
-1.23 8.312 2.2 5
-1.162 8.29 2.057 5
-1.105 8.266 2.016 5
-1.045 8.281 2.115 5
-0.904 8.293 2.163 5
-0.814 8.278 2.202 5
-0.658 8.273 2.183 5
-0.503 8.195 2.149 5
-0.402 8.135 2.093 5
-0.414 8.07 2.209 5
-0.366 8.118 2.366 5
-0.241 8.157 2.569 5
-0.213 8.232 2.678 5
-0.304 8.363 2.645 5
-0.632 8.481 2.583 5
-1.047 8.636 2.397 5
-1.268 8.825 2.144 6
-1.401 8.956 2.0 5
-1.501 8.998 2.034 5
-1.568 9.037 2.214 5
-1.544 9.002 2.421 5
-1.472 8.99 2.64 5
-1.333 8.931 2.856 5
-1.119 8.816 3.155 5
-0.907 8.701 3.529 5
-0.712 8.555 3.802 5
-0.401 8.542 3.888 5
-0.232 8.643 3.858 5
-0.264 8.688 3.799 5
-0.387 8.777 3.711 5
-0.595 8.892 3.552 5
-0.914 8.979 3.399 5
-1.256 9.064 3.24 5
-1.531 9.148 3.233 5
-1.702 9.181 3.508 5
-1.798 9.204 3.906 5
-1.791 9.193 4.284 5
-1.722 9.193 4.637 5
-1.564 9.158 5.001 5
-1.349 9.095 5.343 5
-1.057 9.062 5.751 5
-0.784 9.042 6.158 5
-0.547 9.074 6.496 5
-0.452 9.11 6.677 5
-0.529 9.099 6.633 6
-0.687 9.123 6.505 5
-0.96 9.241 6.401 5
-1.219 9.308 6.135 5
-1.458 9.366 5.759 5
-1.71 9.36 5.287 5
-1.851 9.368 4.926 5
-1.924 9.417 4.586 5
-1.895 9.423 4.279 5
-1.88 9.416 4.232 5
-1.806 9.391 4.431 5
-1.726 9.349 4.788 5
-1.583 9.342 5.224 5
-1.361 9.309 5.617 5
-1.185 9.231 5.935 5
-1.033 9.173 6.267 5
-1.002 9.112 6.415 5
-0.998 9.003 6.41 5
-1.031 8.947 6.378 5
-1.057 8.865 6.342 5
-1.121 8.856 6.336 5
-1.232 8.893 6.275 5
-1.299 8.906 6.118 5
-1.338 8.921 5.852 5
-1.416 8.896 5.621 5
-1.391 8.902 5.584 5
-1.337 8.903 5.749 5
-1.264 8.824 5.859 5
-1.157 8.761 5.949 5
-1.043 8.686 5.99 6
-1.033 8.575 5.998 5
-1.017 8.51 5.998 5
-0.982 8.413 5.962 5
-0.939 8.37 5.883 5
-0.971 8.317 5.791 5
-0.947 8.322 5.59 5
-0.953 8.297 5.362 5
-0.917 8.273 5.187 5
-0.868 8.242 5.095 5
-0.769 8.216 5.053 5
-0.679 8.149 5.059 5
-0.644 8.118 5.156 5
-0.62 8.085 5.384 5
-0.631 8.063 5.663 5
-0.669 8.044 5.802 5
-0.703 7.991 5.918 5
-0.796 7.928 5.996 5
-0.887 7.91 6.09 5
-0.962 7.855 6.163 5
-1.053 7.904 6.043 5
-1.114 7.917 5.777 5
-1.129 7.927 5.501 5
-1.088 7.987 5.224 5
-1.047 8.02 4.941 5
-0.974 8.104 4.824 5
-0.882 8.121 4.732 5
-0.765 8.116 4.793 5
-0.728 8.081 4.838 6
-0.761 8.078 4.895 5
-0.823 8.122 5.08 5
-0.836 8.14 5.166 5
-0.873 8.164 5.301 5
-0.915 8.143 5.465 5
-0.915 8.133 5.7 5
-0.891 8.084 5.893 5
-0.825 8.105 6.026 5
-0.708 8.082 5.995 5
-0.683 8.107 5.917 5
-0.659 8.131 5.829 5
-0.635 8.14 5.803 5
-0.713 8.183 5.81 5
-0.8 8.242 5.88 5
-0.897 8.291 5.868 5
-0.953 8.364 5.757 5
-1.018 8.415 5.601 5
-1.06 8.446 5.537 5
-1.063 8.474 5.488 5
-1.091 8.523 5.401 5
-1.069 8.517 5.36 5
-1.025 8.482 5.316 5
-0.986 8.465 5.324 5
-0.91 8.446 5.42 5
-0.835 8.446 5.442 5
-0.773 8.446 5.515 5
-0.64 8.464 5.677 5
-0.52 8.45 5.787 6
-0.396 8.447 5.943 5
-0.325 8.413 6.099 5
-0.442 8.408 6.128 5
-0.585 8.405 6.08 5
-0.623 8.49 6.041 5
-0.712 8.588 5.985 5
-0.789 8.623 5.931 5
-0.83 8.664 5.895 5
-0.854 8.676 5.956 5
-0.861 8.694 6.048 5
-0.827 8.742 6.046 5
-0.832 8.772 6.091 5
-0.881 8.786 6.032 5
-1.017 8.811 5.895 5
-1.127 8.866 5.73 5
-1.2 8.917 5.584 5
-1.29 8.99 5.486 5
-1.364 9.038 5.38 5
-1.382 9.021 5.355 5
-1.295 9.008 5.331 5
-1.173 9.002 5.378 5
-1.069 9.008 5.418 5
-0.966 8.954 5.468 5
-0.893 8.915 5.444 5
-0.819 8.886 5.379 5
-0.728 8.892 5.312 5
-0.677 8.933 5.275 5
-0.653 8.942 5.184 6
-0.656 8.933 5.21 5
-0.704 8.975 5.257 5
-0.766 8.99 5.377 5
-0.784 9.002 5.456 5
-0.823 8.983 5.53 5
-0.813 8.983 5.632 5
-0.743 8.938 5.793 5
-0.728 8.904 5.9 5
-0.765 8.861 5.925 5
-0.861 8.848 5.972 5
-0.983 8.848 5.995 5
-1.122 8.956 5.918 5
-1.26 9.062 5.902 5
-1.466 9.143 5.813 5
-1.568 9.192 5.709 5
-1.579 9.193 5.684 5
-1.53 9.173 5.629 5
-1.451 9.14 5.562 5
-1.399 9.113 5.375 5
-1.39 9.046 5.233 5
-1.269 8.997 5.074 5
-1.174 8.965 4.986 5
-1.097 8.947 5.084 5
-1.033 8.955 5.296 5
-1.02 8.985 5.437 5
-1.033 9.039 5.534 5
-1.009 9.122 5.603 5
-1.016 9.115 5.641 5
-1.033 9.097 5.604 6
-1.059 9.113 5.506 5
-1.143 9.071 5.346 5
-1.155 9.047 5.236 5
-1.148 9.04 5.211 5
-1.19 9.04 5.192 5
