# Accelerometer Data File
# Started @Mon May 08 23:01:21 GMT+02:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: BMA2X2 Accelerometer/Temperature/Double-tap
# sensor Resolution: 0.01914978m/sec^2; Max Range: 39.226593; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-0.957 8.813 3.431 5
-1.009 8.719 3.591 5
-0.837 8.734 3.616 5
-0.413 8.716 3.565 5
-0.031 8.724 3.368 5
-0.098 8.928 3.004 5
-0.443 9.204 2.586 5
-0.157 9.04 2.139 5
-0.209 9.056 1.725 6
-0.181 8.998 1.551 5
-0.073 8.927 1.602 5
-0.025 8.843 1.772 5
-0.036 8.741 2.014 5
-0.106 8.672 2.358 5
-0.179 8.621 2.802 5
-0.266 8.538 3.238 5
-0.384 8.407 3.642 5
-0.543 8.348 3.882 5
-0.825 8.272 4.029 5
-0.95 8.287 4.127 5
-1.027 8.365 4.079 5
-0.99 8.557 4.043 5
-0.952 8.788 3.859 5
-0.847 8.973 3.65 5
-0.738 9.174 3.405 5
-0.671 9.251 3.023 5
-0.574 9.265 2.601 5
-0.477 9.23 2.177 5
-0.386 9.163 1.875 5
-0.262 9.125 1.749 5
-0.133 9.117 1.803 5
-0.037 9.136 1.991 5
-0.067 9.151 2.255 5
-0.114 9.187 2.645 5
-0.221 9.193 3.043 5
-0.29 9.182 3.352 5
-0.287 9.117 3.773 6
-0.196 9.055 4.312 5
0.216 8.944 4.837 5
0.289 8.955 5.32 5
-0.368 8.972 5.304 5
-0.737 8.867 5.164 5
-0.935 8.798 5.025 5
-0.852 8.636 4.9 5
-0.796 8.454 4.701 5
-1.268 8.586 4.455 5
-1.181 8.371 4.276 5
-0.996 7.964 3.711 5
-0.861 7.646 2.9 5
-0.918 7.39 2.249 5
-0.795 7.242 1.708 5
-0.506 7.245 1.499 5
-0.632 7.422 1.571 5
-1.304 7.659 2.199 5
-0.385 8.216 1.345 5
0.044 8.528 0.945 5
0.096 8.544 1.495 5
0.134 8.303 2.368 5
0.051 7.992 3.102 5
-0.341 7.665 3.616 5
-0.948 7.488 4.271 5
-1.471 7.492 5.405 5
-1.744 7.622 6.726 5
-1.916 7.761 7.924 5
-1.93 7.842 8.741 5
-1.686 7.94 9.209 6
-1.467 7.987 8.97 5
-1.344 7.933 8.347 5
-1.42 7.724 7.234 5
-1.482 7.378 5.377 5
-1.56 6.975 3.538 5
-1.567 6.662 2.267 5
-1.401 6.537 1.729 5
-1.233 6.594 1.587 5
-1.135 6.724 1.554 5
-0.868 6.978 1.716 5
-0.694 6.856 1.657 5
-0.618 6.474 1.576 5
-0.83 6.578 2.348 5
-0.751 6.742 3.279 5
-0.397 6.865 4.27 5
0.163 6.856 4.587 5
0.722 7.049 4.281 5
1.2 7.865 3.268 5
1.316 8.039 3.717 5
1.087 7.526 5.33 5
0.516 7.732 6.057 5
-0.267 8.321 6.946 5
-1.271 8.657 10.28 5
-1.547 8.028 11.964 5
-1.58 7.53 10.457 5
-0.969 7.469 10.111 5
-0.37 7.44 10.248 5
-0.482 7.152 9.995 6
-0.594 6.73 8.989 5
-0.499 6.409 7.561 5
-0.671 6.337 5.916 5
-1.358 6.315 4.681 5
-2.024 6.267 4.336 5
-2.182 6.231 4.566 5
-2.0 6.261 5.162 5
-1.699 6.214 6.142 5
-1.38 6.006 7.081 5
-1.253 5.768 8.029 5
-1.322 5.651 8.891 5
-1.324 5.71 9.674 5
-1.177 5.892 10.463 5
-0.933 6.153 11.113 5
-0.62 6.438 11.27 5
-0.42 6.627 10.764 5
-0.356 6.723 9.529 5
0.127 6.868 8.303 5
0.713 7.125 7.173 5
1.374 7.496 6.108 5
1.846 7.836 4.605 5
1.585 7.886 3.059 5
0.828 7.733 2.404 5
0.229 7.647 2.22 5
-0.142 7.623 2.082 5
-0.106 7.661 2.184 5
-0.299 7.598 2.38 5
-1.052 7.391 2.639 6
-1.335 7.245 3.154 5
-1.214 7.229 4.025 5
-1.072 7.278 5.125 5
-0.96 7.282 6.425 5
-0.714 7.139 7.613 5
-0.261 6.967 8.512 5
0.157 6.82 9.191 5
0.499 6.665 9.58 5
0.63 6.583 9.689 5
0.621 6.542 9.625 5
0.593 6.583 9.441 5
0.666 6.699 9.385 5
0.903 6.833 9.265 5
1.111 6.991 8.6 5
0.964 7.058 7.509 5
0.614 7.107 6.33 5
0.17 7.192 5.881 5
-0.033 7.241 5.095 5
0.058 7.102 4.741 5
0.156 6.877 4.351 5
0.165 6.536 4.121 5
0.023 6.221 4.099 5
-0.22 6.002 4.354 5
-0.444 5.774 4.735 5
-0.805 5.534 5.125 5
-1.167 5.398 5.755 5
-1.147 5.483 6.531 5
-0.617 5.604 7.424 6
0.063 5.783 8.245 5
0.787 6.077 8.851 5
1.567 6.246 9.916 5
2.048 6.311 10.877 5
2.033 6.404 11.219 5
1.845 6.305 11.077 5
1.793 6.258 10.496 5
1.666 6.234 9.773 5
1.494 6.269 9.083 5
1.203 6.351 8.38 5
0.616 6.656 7.597 5
0.212 6.868 6.828 5
-0.136 6.864 6.072 5
-0.444 6.693 5.523 5
-0.819 6.392 5.066 5
-1.251 6.08 4.786 5
-2.335 6.327 5.081 5
-2.037 6.126 5.19 5
-1.143 6.062 5.278 5
-0.565 6.131 5.705 5
-0.359 6.303 6.455 5
-0.236 6.314 7.356 5
0.015 6.217 8.117 5
0.465 6.219 8.515 5
0.808 6.386 8.646 5
1.197 6.614 8.847 5
