x,y,z,dt
0.804,-9.615,-0.306,10
0.766,-9.471,0.45,10
0.928,-9.318,0.948,10
1.082,-9.203,1.302,9
1.292,-9.241,1.771,10
1.551,-9.73,2.03,10
1.723,-10.582,1.8,10
1.79,-11.856,1.091,9
1.675,-12.727,0.201,10
1.896,-12.593,-0.478,10
2.183,-11.482,0.019,10
2.193,-10.678,1.139,9
2.059,-10.582,1.685,10
1.541,-10.793,1.407,10
0.928,-11.156,0.919,10
0.517,-11.98,0.9,10
0.775,-13.196,0.89,9
1.532,-14.777,0.756,10
2.499,-14.968,0.229,10
4.175,-14.307,0.373,10
5.123,-13.781,1.015,9
5.075,-14.307,1.857,10
4.769,-14.135,2.432,10
2.93,-14.623,1.637,10
0.392,-14.106,0.689,9
-1.666,-13.043,-0.383,10
-3.485,-11.932,-1.379,10
-5.41,-11.147,-1.742,10
-7.374,-10.812,-1.934,9
-8.025,-10.726,-1.656,10
-7.249,-10.994,-0.411,10
-4.635,-10.793,1.072,10
-1.503,-10.544,1.618,10
-1.503,-10.544,2.825,9
1.618,-11.166,2.825,10
4.213,-11.98,3.294,10
5.995,-11.693,1.742,10
6.512,-10.735,0.038,9
5.171,-9.27,-1.474,10
2.7,-8.312,-2.059,10
0.354,-7.594,-2.422,10
-1.302,-7.69,-2.202,9
-2.384,-7.92,-1.944,10
-2.451,-8.13,-1.082,10
-1.685,-8.101,-0.948,10
-0.641,-7.814,-1.522,9
0,-7.584,-2.183,10
0.277,-7.431,-2.02,10
0.948,-6.809,-1.522,10
0.67,-6.445,-2.011,10
0.229,-6.588,-1.829,9
0.191,-5.975,-1.57,10
0.229,-5.602,-1.254,10
0.019,-5.152,-1.656,10
-0.268,-5.181,-2.078,9
-0.555,-5.506,-2.355,10
-0.689,-5.65,-2.633,10
-0.804,-5.813,-2.796,10
-0.316,-5.746,-3.265,9
0.287,-5.181,-3.801,10
0.727,-5.027,-4.175,10
1.024,-5.382,-4.558,10
0.89,-5.621,-5.056,9
0.823,-6.54,-5.181,10
0.938,-7.45,-5.372,10
0.919,-7.967,-5.477,10
0.909,-8.322,-5.621,10
0.995,-8.628,-6.081,9
1.101,-8.753,-6.78,10
1.81,-8.494,-7.335,10
2.394,-8.504,-7.852,10
3.074,-8.657,-8.101,9
3.667,-9.433,-7.996,10
4.213,-10.783,-7.393,10
4.338,-12.277,-6.32,10
3.447,-13.455,-5.602,9
2.02,-13.541,-5.41,10
0.086,-12.152,-6.253,10
-1.206,-11.559,-8.303,10
-1.685,-12.593,-8.829,9
-1.8,-13.685,-6.272,10
-2.097,-15.437,-1.972,10
-2.537,-16.424,2.691,10
-2.566,-14.987,4.434,10
-1.742,-12.325,1.177,9
-0.555,-9.107,-3.035,10
1.819,-4.031,-3.993,10
1.034,-0.028,-2.269,10
-0.651,1.551,-1.053,9
-0.976,0.287,-0.383,10
0.229,-4.041,0.756,10
0.229,-4.041,2.135,10
2.47,-10.275,2.135,9
6.129,-16.223,1.781,10
9.155,-18.99,2.24,10
7.814,-18.09,2.652,10
4.491,-13.79,2.269,9
1.493,-9.126,0.584,10
-0.976,-5.985,-1.197,10
-2.863,-4.788,-2.767,10
-4.089,-5.276,-3.888,10
-3.409,-6.502,-3.418,9
-1.082,-7.967,-1.829,10
0.794,-9.059,-0.411,10
1.829,-10.218,0.833,10
2.317,-11.176,1.666,9
2.288,-11.75,1.915,10
1.886,-11.578,1.714,10
1.359,-10.879,1.647,10
1.082,-10.141,1.292,9
1.063,-9.49,0.9,10
1.149,-9.04,0.44,10
1.082,-9.059,0.488,10
1.244,-9.279,0.66,10
1.101,-9.481,1.005,9
1.359,-9.969,1.264,10
1.647,-10.218,1.465,10
1.819,-10.266,1.273,10
2.126,-9.873,0.842,9
