x,y,z,dt
0.21,-3.888,-6.253,10
-2.94,-6.512,-12.737,10
-1.924,-13.675,-15.418,10
0.746,-19.642,-16.127,9
4.022,20.312,-6.062,10
6.636,-18.444,4.156,10
7.517,-16.347,3.38,9
7.115,-11.654,-0.699,10
5.669,-7.038,-4.625,10
4.855,-4.424,-5.439,10
5.018,-2.978,-5.42,10
5.937,-3.246,-4.721,9
5.87,-5.564,-3.562,10
4.098,-8.13,-2.901,10
1.771,-9.701,-2.786,10
0.258,-10.323,-2.097,9
-0.316,-10.735,-1.704,10
0.105,-10.975,-1.388,10
2.116,-10.611,-0.881,10
4.07,-9.844,0.0,10
5.066,-9.662,0.488,9
5.679,-9.758,0.363,10
5.975,-9.682,-0.373,10
5.631,-9.27,-1.292,10
4.797,-8.695,-1.656,9
3.964,-8.312,-1.331,10
3.294,-8.293,-0.689,10
2.815,-8.523,-0.153,10
2.614,-8.523,0.335,9
2.614,-8.753,0.335,10
2.652,-8.829,0.785,10
2.901,-8.801,1.101,10
3.246,-8.647,0.938,9
3.658,-8.446,0.43,10
4.079,-8.111,-0.134,10
4.462,-7.9,-0.181,10
4.663,-7.69,-0.172,9
4.568,-7.469,-0.229,10
3.878,-7.527,-0.44,10
2.566,-7.92,-0.603,10
1.541,-8.35,-0.545,10
1.043,-8.829,-0.181,9
0.957,-9.232,0.287,10
1.024,-9.452,0.555,10
1.273,-9.433,0.526,10
1.628,-9.279,0.306,9
2.126,-9.232,0.201,10
2.604,-9.203,0.162,10
3.246,-9.088,0.306,10
3.792,-8.935,0.44,9
4.118,-9.059,0.124,10
4.529,-9.203,-0.153,10
4.472,-9.519,-0.191,10
4.165,-9.979,0.086,9
3.763,-10.371,0.181,10
3.562,-10.697,0.019,10
3.332,-11.032,0.019,10
3.495,-11.367,0.421,10
3.476,-11.741,0.948,9
3.514,-12.21,1.292,10
3.639,-12.842,1.417,10
3.744,-13.541,1.312,10
3.945,-14.336,1.34,9
4.309,-15.16,1.819,10
4.539,-15.591,2.317,10
4.242,-15.294,2.317,10
3.572,-15.112,1.426,9
2.432,-15.495,-0.44,10
0.804,-15.677,-2.92,10
-1.283,-15.16,-5.449,10
-2.499,-14.106,-6.713,10
-1.398,-13.484,-6.397,9
1.58,-13.34,-5.295,10
4.529,-13.053,-4.395,10
6.531,-12.717,-3.773,10
7.422,-12.746,-2.557,9
7.747,-13.206,-0.641,10
7.24,-13.579,1.532,10
6.014,-13.646,2.71,10
4.548,-13.819,3.246,9
3.418,-14.001,3.093,10
1.79,-13.646,2.26,10
-0.344,-12.421,1.944,10
-1.628,-11.645,2.336,9
-1.924,-11.224,2.461,10
-1.963,-10.917,1.886,10
-0.766,-10.505,0.268,10
1.273,-9.864,-2.719,10
2.92,-9.078,-5.027,9
3.562,-8.207,-4.999,10
3.275,-8.207,-3.083,10
3.275,-7.259,-3.083,10
2.355,-6.32,-0.785,9
1.369,-5.181,1.063,10
0.766,-3.993,1.599,10
0.507,-3.227,1.11,10
0.44,-2.729,-0.095,10
0.785,-2.422,-1.704,9
1.312,-2.662,-2.758,10
1.762,-3.102,-3.016,10
1.742,-3.533,-2.633,9
1.302,-3.773,-1.915,10
0.478,-4.165,-1.465,10
-0.229,-4.405,-1.177,10
-0.861,-4.548,-1.197,10
-0.9,-4.242,-1.321,9
-0.421,-3.591,-1.8,10
0.603,-2.767,-2.7,10
1.493,-2.47,-4.05,10
2.336,-2.557,-5.228,10
3.39,-2.863,-5.755,9
4.596,-3.045,-5.391,10
5.276,-3.169,-4.74,10
5.391,-3.035,-3.801,9
5.248,-2.873,-3.074,10
4.577,-3.055,-3.179,10
2.92,-3.447,-3.696,10
-0.057,-3.869,-5.899,10
-4.491,-5.928,-15.351,9
-4.003,-13.168,18.176,10
1.762,-17.889,-15.428,10
5.2,-18.847,-5.42,10
7.958,-17.017,6.416,9
9.442,-15.753,5.104,10
9.615,-12.545,-1.991,10
7.153,-7.958,-6.617,10
5.171,-4.97,-5.104,9
4.443,-2.834,-4.769,10
4.951,-1.886,-5.659,10
4.922,-4.271,-4.807,10
3.754,-7.613,-3.524,9
1.857,-9.95,-2.873,10
0.038,-10.975,-2.719,10
-1.043,-11.549,-2.892,10
-1.13,-11.741,-2.844,9
0.584,-11.281,-2.135,10
3.62,-10.074,-1.244,10
5.688,-9.107,-0.565,10
7.019,-8.753,-0.44,10
7.699,-8.743,-0.995,9
7.766,-8.647,-1.685,10
6.856,-8.714,-2.03,10
5.477,-8.724,-1.79,10
4.223,-8.714,-1.331,9
3.457,-8.772,-0.565,10
3.102,-8.858,0.038,10
3.236,-8.801,0.402,10
3.514,-8.628,0.574,9
3.782,-8.37,0.526,10
4.05,-8.236,0.325,10
4.232,-8.159,-0.067,10
4.347,-8.006,-0.344,10
4.347,-8.006,-0.497,9
4.156,-7.824,-0.497,10
3.754,-7.632,-0.507,10
3.007,-7.814,-0.775,10
2.202,-8.178,-1.015,9
1.704,-8.504,-0.967,10
1.474,-8.714,-0.766,10
1.513,-8.801,-0.574,10
1.618,-8.762,-0.335,9
1.781,-8.705,-0.162,10
2.059,-8.724,-0.114,10
2.547,-8.887,0.0,10
3.217,-9.078,0.0,9
3.639,-9.232,-0.067,10
3.696,-9.193,-0.574,10
3.878,-9.212,-1.292,10
4.424,-9.414,-1.12,10
4.807,-9.595,-0.641,9
4.817,-9.777,-0.124,10
4.865,-10.275,0.019,10
5.133,-10.84,-0.258,10
5.209,-11.54,-0.794,9
5.046,-12.239,-0.948,10
4.529,-12.66,-0.622,10
3.849,-12.919,-0.143,10
3.227,-13.244,0.363,10
2.738,-14.106,0.517,9
2.671,-15.236,0.383,10
2.308,-15.638,-0.268,10
1.551,-14.958,-1.177,9
0.814,-14.393,-2.154,10
-0.201,-14.259,-3.428,10
-1.58,-14.528,-5.114,10
-2.212,-14.757,-6.464,10
-0.421,-14.317,-7.278,9
2.892,-13.388,-7.431,10
5.736,-12.612,-6.694,10
7.393,-12.229,-4.472,10
7.709,-12.497,-0.526,9
7.642,-13.177,3.61,10
6.866,-13.819,6.426,10
5.554,-13.943,7.058,10
4.644,-13.694,5.554,9
3.734,-13.867,2.298,10
1.283,-13.378,-1.091,10
-1.158,-13.177,-1.216,10
-2.24,-13.168,-1.12,10
-2.432,-13.57,-2.604,9
-0.612,-13.943,-6.512,10
1.695,-13.551,-7.967,10
2.796,-11.913,-5.477,10
3.303,-9.414,-2.413,9
3.246,-6.914,-0.277,10
2.662,-5.066,0.622,10
1.905,-3.811,0.66,10
1.292,-3.074,-0.306,9
0.919,-2.643,-2.087,10
0.89,-2.547,-3.658,10
1.11,-2.806,-3.6,10
1.197,-3.505,-2.212,9
1.072,-4.108,-1.177,10
0.852,-4.328,-0.967,10
0.852,-4.328,-0.967,10
0.517,-4.165,-1.197,10
0.248,-3.734,-1.13,9
-0.124,-3.035,-0.775,10
-0.363,-2.26,-0.354,10
-0.402,-1.522,-0.191,10
-0.067,-0.794,-1.187,9
1.12,-0.603,-2.652,10
2.422,-1.493,-4.252,10
3.773,-2.327,-4.616,10
4.453,-3.045,-4.185,9
4.912,-3.284,-3.064,10
5.353,-2.882,-2.135,10
5.43,-2.566,-2.308,10
5.075,-2.566,-3.706,9
4.079,-2.719,-4.97,10
2.097,-2.901,-5.88,10
-1.072,-3.131,-10.927,10
-3.773,-7.9,-18.253,10
-1.877,-15.954,-16.405,9
0.526,-19.929,-14.92,10
3.821,-19.488,-4.041,10
7.383,-16.481,5.372,10
8.954,-14.039,3.131,9
7.441,-9.71,0.584,10
6.732,-5.726,-4.252,10
6.722,-3.38,-7.125,10
6.454,-2.652,-5.841,9
6.081,-3.093,-4.347,10
4.29,-5.114,-3.859,10
1.589,-7.546,-3.303,10
-0.66,-9.107,-2.949,9
-1.666,-10.093,-2.604,10
-2.001,-11.271,-2.164,10
-0.852,-12.287,-1.838,10
2.087,-12.2,-1.283,10
4.845,-11.281,-0.593,9
6.531,-10.764,-0.124,10
7.584,-10.342,-0.277,10
7.987,-9.557,-0.9,10
7.69,-8.59,-1.474,9
6.445,-7.967,-1.666,10
5.046,-7.766,-1.225,10
3.916,-7.862,-0.67,10
3.189,-8.274,-0.038,9
2.949,-8.791,0.459,10
3.007,-9.126,0.612,10
3.169,-9.27,0.421,10
3.351,-9.165,0.0,10
3.677,-9.002,-0.517,9
3.955,-8.724,-0.641,10
4.137,-8.446,-0.469,10
4.127,-8.236,-0.181,10
3.83,-8.073,0.153,9
3.351,-7.958,0.201,10
2.777,-7.91,-0.076,10
2.269,-8.063,-0.392,10
1.877,-8.293,-0.555,9
1.58,-8.446,-0.306,10
1.541,-8.552,0.22,10
1.561,-8.657,0.526,10
1.714,-8.724,0.478,9
1.714,-8.724,0.067,10
1.867,-8.695,0.067,10
2.068,-8.829,-0.373,10
2.375,-8.916,-0.488,9
2.671,-9.203,-0.488,10
2.949,-9.519,-0.373,10
3.198,-9.864,-0.296,10
3.208,-9.73,-0.325,10
3.447,-9.71,-0.335,9
4.137,-10.122,-0.239,10
4.759,-10.745,0.095,10
4.932,-11.224,0.44,10
4.797,-11.607,0.718,9
4.577,-12.076,1.043,10
4.347,-12.516,1.139,10
3.916,-13.158,1.206,10
3.706,-13.809,1.331,10
3.993,-14.393,1.838,9
4.347,-14.815,2.767,10
3.916,-14.968,3.026,10
3.294,-15.035,2.346,9
2.432,-15.15,0.775,10
0.679,-15.16,-2.164,10
-1.675,-14.949,-5.161,10
-3.562,-14.604,-6.435,10
-3.428,-14.336,-6.253,9
-0.335,-14.058,-5.477,10
3.122,-13.35,-4.644,10
6.062,-12.296,-4.797,10
7.795,-11.597,-4.893,9
8.169,-11.875,-3.16,10
7.747,-12.536,0.248,10
6.56,-12.775,2.92,10
4.979,-12.804,4.06,9
3.869,-13.12,3.323,10
1.225,-13.292,1.675,10
-1.446,-12.507,2.001,10
-2.489,-11.932,3.131,10
-2.882,-11.645,3.696,9
-2.949,-11.262,2.451,10
-1.838,-11.013,-0.794,10
0.22,-10.86,-4.223,10
2.049,-10.687,-6.406,9
3.246,-10.122,-6.282,10
3.342,-9.04,-4.003,10
2.834,-7.623,-1.149,10
1.982,-6.148,1.292,9
1.695,-4.932,2.173,10
1.771,-3.964,0.928,10
2.087,-3.533,-1.8,10
2.193,-3.591,-3.821,9
2.049,-3.744,-3.792,10
1.551,-4.022,-2.537,10
1.101,-4.357,-1.379,10
0.411,-4.462,-1.273,10
-0.162,-4.386,-1.474,9
-0.67,-4.405,-1.704,10
-0.775,-4.252,-1.34,10
-0.277,-3.801,-0.938,10
0.766,-3.179,-0.919,9
2.087,-2.614,-1.264,10
2.93,-2.317,-2.308,10
3.418,-2.231,-3.38,10
3.418,-2.231,-3.38,9
3.888,-2.26,-4.242,10
4.319,-2.126,-4.96,10
4.347,-2.298,-4.893,10
4.481,-2.355,-4.414,9
4.434,-2.422,-4.232,10
4.012,-2.748,-5.027,10
2.911,-3.466,-6.56,10
0.861,-4.041,-9.902,10
-2.643,-5.995,-15.16,9
-4.022,-11.367,-17.429,10
