x,y,z,dt
4.74,-2.853,-7.364,10
4.098,-3.313,-7.584,10
4.05,-3.246,-7.613,10
3.821,-3.083,-7.757,9
3.485,-3.275,-7.833,10
3.811,-3.122,-7.718,10
3.782,-3.399,-7.824,10
4.338,-3.102,-7.852,9
4.558,-2.94,-7.699,10
4.462,-2.959,-7.546,10
4.367,-2.834,-7.536,10
4.299,-2.93,-7.833,9
4.242,-2.576,-7.718,10
4.118,-2.116,-7.9,10
4.07,-2.116,-7.967,10
4.491,-1.206,-8.14,9
4.501,-1.589,-8.034,10
4.28,-2.193,-7.776,10
4.098,-2.576,-7.517,10
4.07,-2.853,-7.326,10
4.204,-2.595,-7.153,9
4.367,-1.781,-7.134,10
4.568,-1.005,-6.809,10
4.759,-0.536,-6.636,10
4.97,-0.306,-6.789,9
4.979,-0.172,-7.096,10
4.979,-0.172,-7.048,10
5.535,0.009,-7.048,10
5.793,-0.756,-7.096,9
5.793,-1.283,-7.201,10
5.544,-1.589,-7.259,10
5.2,-1.857,-7.105,10
4.932,-2.346,-6.943,10
4.836,-2.853,-6.914,9
4.96,-3.246,-7.019,10
5.114,-3.763,-7.278,10
5.133,-3.993,-7.46,10
4.893,-4.223,-7.45,9
4.587,-4.28,-7.584,10
4.156,-3.964,-7.862,10
3.782,-3.696,-8.14,10
3.792,-3.61,-8.379,9
3.926,-3.505,-8.418,10
4.108,-3.294,-8.475,10
4.165,-3.055,-8.446,10
4.223,-2.758,-8.37,10
4.242,-2.614,-8.379,9
4.204,-2.499,-8.465,10
4.108,-2.403,-8.523,10
4.041,-2.317,-8.523,10
4.022,-2.116,-8.485,9
4.022,-2.02,-8.35,10
3.936,-2.039,-8.121,10
3.878,-2.011,-7.958,10
3.983,-1.982,-7.881,9
3.993,-1.982,-7.891,10
3.983,-2.087,-7.91,10
3.936,-2.269,-7.92,10
3.964,-2.413,-7.939,9
4.079,-2.528,-7.91,10
4.118,-2.557,-7.833,10
4.261,-2.585,-7.881,10
4.137,-2.585,-8.006,10
4.098,-2.825,-8.101,9
4.137,-2.997,-8.14,10
4.213,-3.074,-8.073,10
4.357,-2.959,-7.824,10
4.319,-2.93,-7.613,9
4.28,-2.94,-7.527,10
4.491,-2.853,-7.575,10
4.367,-2.825,-7.805,10
4.261,-2.873,-7.843,9
4.223,-2.959,-7.699,10
4.146,-2.94,-7.661,10
4.165,-2.911,-7.814,10
4.175,-2.93,-7.891,9
4.089,-2.863,-7.833,10
4.07,-2.518,-7.632,10
3.811,-2.221,-7.067,10
4.108,-2.346,-6.962,9
4.481,-2.595,-7.546,10
4.395,-2.825,-8.236,10
4.165,-2.748,-8.599,10
3.983,-2.633,-8.743,10
3.801,-2.442,-8.628,9
3.801,-2.442,-8.628,10
3.677,-2.489,-8.379,10
3.591,-2.375,-8.418,10
3.572,-2.269,-8.619,9
3.61,-2.336,-8.571,10
3.466,-2.595,-8.283,10
3.045,-2.585,-8.341,10
4.079,-2.355,-8.149,9
4.453,-2.48,-8.331,10
4.29,-2.662,-8.264,10
4.338,-2.595,-7.881,10
4.932,-1.963,-7.527,10
4.788,-2.509,-7.881,9
4.74,-2.279,-7.584,10
5.41,-1.781,-7.393,10
5.027,-1.742,-7.345,10
4.797,-1.628,-7.23,9
4.769,-1.637,-7.393,10
4.721,-1.762,-7.374,10
4.548,-1.944,-7.345,10
4.539,-2.087,-7.469,9
4.309,-2.126,-7.536,10
3.993,-2.001,-7.565,10
3.926,-1.991,-7.642,10
3.993,-1.991,-7.738,9
3.907,-2.078,-7.728,10
4.271,-2.087,-7.881,10
3.945,-2.308,-7.747,10
3.964,-2.461,-7.728,9
4.232,-2.643,-7.862,10
4.271,-2.729,-7.92,10
4.357,-2.729,-7.948,10
4.06,-2.7,-8.006,10
3.926,-2.7,-8.293,9
4.232,-3.007,-7.833,10
4.405,-3.102,-7.546,10
4.453,-3.169,-7.565,10
4.568,-3.074,-7.613,9
4.481,-2.901,-7.508,10
4.242,-2.595,-7.613,10
4.146,-2.786,-8.121,10
4.711,-3.313,-8.293,9
